selection_rank,selection_source,selection_criteria,pair_id,image_id,v_path,t_path,v_image_width,v_image_height,t_image_width,t_image_height,v_camera_model,t_camera_model,v_focal_length,t_focal_length,v_focal_length_35mm,t_focal_length_35mm,v_relative_altitude,t_relative_altitude,gps_latitude,gps_longitude,v_gimbal_yaw_degree,v_gimbal_pitch_degree,v_gimbal_roll_degree,t_gimbal_yaw_degree,t_gimbal_pitch_degree,t_gimbal_roll_degree,inferred_visible_camera_profile,inferred_visible_camera_confidence,camera_inference_notes,roi_method,roi_confidence,roi_x_min_px,roi_y_min_px,roi_x_max_px,roi_y_max_px,roi_width_px,roi_height_px,roi_width_fraction_of_visible,roi_height_fraction_of_visible,roi_notes,segmentation_method,segment_count,review_package_dir,visible_preview_path,thermal_preview_path,visible_roi_overlay_path,visible_roi_resized_path,thermal_visible_overlay_path,side_by_side_path,contact_sheet_path,superpixel_overlay_path,segment_id_map_path,segment_boundary_overlay_path,segment_summary_path,annotation_template_path,notes
1,selected from pilot_candidate_pairs.csv,HKUST high-priority local V/T pair; Garden Hill excluded; existing pilot grid output preferred.,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_V.JPG,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,4032,3024,640,512,M4T,M4T,6.7,12.0,24.0,52.0,399.269,399.28,22.340113888888887,114.263325,-179.2,-90.0,180.0,-179.2,-90.0,180.0,wide_visible,high,visible image with 24 mm 35mm-equivalent focal length and matching actual focal length,metadata_fov_center_crop,medium,1108,786,2924,2239,1816,1453,0.4503968253968254,0.48048941798941797,Centered crop from visible image using thermal/visible FOV ratio; no feature matching or georeferenced registration applied.,skimage_slic,198,outputs/part_b/review_packages/DJI_20260107143259_0005,outputs/part_b/review_packages/DJI_20260107143259_0005/01_original_visible_preview.png,outputs/part_b/review_packages/DJI_20260107143259_0005/02_original_thermal_preview.png,outputs/part_b/review_packages/DJI_20260107143259_0005/03_estimated_visible_roi_overlay.png,outputs/part_b/review_packages/DJI_20260107143259_0005/04_visible_roi_resized_to_thermal_grid.png,outputs/part_b/review_packages/DJI_20260107143259_0005/05_thermal_visible_blend_overlay.png,outputs/part_b/review_packages/DJI_20260107143259_0005/06_side_by_side_visible_roi_and_thermal.png,outputs/part_b/review_packages/DJI_20260107143259_0005/07_contact_sheet.png,outputs/part_b/superpixels/DJI_20260107143259_0005_superpixel_overlay.png,outputs/part_b/superpixels/DJI_20260107143259_0005_segment_id_map.png,outputs/part_b/superpixels/DJI_20260107143259_0005_segment_boundary_overlay.png,outputs/part_b/superpixels/DJI_20260107143259_0005_segment_summary.csv,data/annotations/part_b_round1/DJI_20260107143259_0005_segment_annotation_template.csv,"visible image with 24 mm 35mm-equivalent focal length and matching actual focal length; ROI is a first-pass center estimate for manual review, not precise V/T registration."
2,selected from pilot_candidate_pairs.csv,HKUST high-priority local V/T pair; Garden Hill excluded; existing pilot grid output preferred.,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,DJI_20260107143320_0007,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143320_0007_V.JPG,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143320_0007_T.JPG,4032,3024,640,512,M4T,M4T,6.7,12.0,24.0,52.0,400.121,400.098,22.338783333333332,114.26330555555556,-179.2,-90.0,180.0,-179.2,-90.0,180.0,wide_visible,high,visible image with 24 mm 35mm-equivalent focal length and matching actual focal length,metadata_fov_center_crop,medium,1108,786,2924,2239,1816,1453,0.4503968253968254,0.48048941798941797,Centered crop from visible image using thermal/visible FOV ratio; no feature matching or georeferenced registration applied.,skimage_slic,195,outputs/part_b/review_packages/DJI_20260107143320_0007,outputs/part_b/review_packages/DJI_20260107143320_0007/01_original_visible_preview.png,outputs/part_b/review_packages/DJI_20260107143320_0007/02_original_thermal_preview.png,outputs/part_b/review_packages/DJI_20260107143320_0007/03_estimated_visible_roi_overlay.png,outputs/part_b/review_packages/DJI_20260107143320_0007/04_visible_roi_resized_to_thermal_grid.png,outputs/part_b/review_packages/DJI_20260107143320_0007/05_thermal_visible_blend_overlay.png,outputs/part_b/review_packages/DJI_20260107143320_0007/06_side_by_side_visible_roi_and_thermal.png,outputs/part_b/review_packages/DJI_20260107143320_0007/07_contact_sheet.png,outputs/part_b/superpixels/DJI_20260107143320_0007_superpixel_overlay.png,outputs/part_b/superpixels/DJI_20260107143320_0007_segment_id_map.png,outputs/part_b/superpixels/DJI_20260107143320_0007_segment_boundary_overlay.png,outputs/part_b/superpixels/DJI_20260107143320_0007_segment_summary.csv,data/annotations/part_b_round1/DJI_20260107143320_0007_segment_annotation_template.csv,"visible image with 24 mm 35mm-equivalent focal length and matching actual focal length; ROI is a first-pass center estimate for manual review, not precise V/T registration."
3,selected from pilot_candidate_pairs.csv,HKUST high-priority local V/T pair; Garden Hill excluded; existing pilot grid output preferred.,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143328_0008,DJI_20260107143328_0008,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143328_0008_V.JPG,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143328_0008_T.JPG,4032,3024,640,512,M4T,M4T,6.7,12.0,24.0,52.0,400.27,400.275,22.338366666666666,114.2633,-179.3,-90.0,180.0,-179.3,-90.0,180.0,wide_visible,high,visible image with 24 mm 35mm-equivalent focal length and matching actual focal length,metadata_fov_center_crop,medium,1108,786,2924,2239,1816,1453,0.4503968253968254,0.48048941798941797,Centered crop from visible image using thermal/visible FOV ratio; no feature matching or georeferenced registration applied.,skimage_slic,188,outputs/part_b/review_packages/DJI_20260107143328_0008,outputs/part_b/review_packages/DJI_20260107143328_0008/01_original_visible_preview.png,outputs/part_b/review_packages/DJI_20260107143328_0008/02_original_thermal_preview.png,outputs/part_b/review_packages/DJI_20260107143328_0008/03_estimated_visible_roi_overlay.png,outputs/part_b/review_packages/DJI_20260107143328_0008/04_visible_roi_resized_to_thermal_grid.png,outputs/part_b/review_packages/DJI_20260107143328_0008/05_thermal_visible_blend_overlay.png,outputs/part_b/review_packages/DJI_20260107143328_0008/06_side_by_side_visible_roi_and_thermal.png,outputs/part_b/review_packages/DJI_20260107143328_0008/07_contact_sheet.png,outputs/part_b/superpixels/DJI_20260107143328_0008_superpixel_overlay.png,outputs/part_b/superpixels/DJI_20260107143328_0008_segment_id_map.png,outputs/part_b/superpixels/DJI_20260107143328_0008_segment_boundary_overlay.png,outputs/part_b/superpixels/DJI_20260107143328_0008_segment_summary.csv,data/annotations/part_b_round1/DJI_20260107143328_0008_segment_annotation_template.csv,"visible image with 24 mm 35mm-equivalent focal length and matching actual focal length; ROI is a first-pass center estimate for manual review, not precise V/T registration."
4,selected from pilot_candidate_pairs.csv,HKUST high-priority local V/T pair; Garden Hill excluded; existing pilot grid output preferred.,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,DJI_20260107143344_0009,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143344_0009_V.JPG,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143344_0009_T.JPG,4032,3024,640,512,M4T,M4T,6.7,12.0,24.0,52.0,400.663,400.667,22.337699999999998,114.2632888888889,-179.2,-90.0,180.0,-179.3,-90.0,180.0,wide_visible,high,visible image with 24 mm 35mm-equivalent focal length and matching actual focal length,metadata_fov_center_crop,medium,1108,786,2924,2239,1816,1453,0.4503968253968254,0.48048941798941797,Centered crop from visible image using thermal/visible FOV ratio; no feature matching or georeferenced registration applied.,skimage_slic,187,outputs/part_b/review_packages/DJI_20260107143344_0009,outputs/part_b/review_packages/DJI_20260107143344_0009/01_original_visible_preview.png,outputs/part_b/review_packages/DJI_20260107143344_0009/02_original_thermal_preview.png,outputs/part_b/review_packages/DJI_20260107143344_0009/03_estimated_visible_roi_overlay.png,outputs/part_b/review_packages/DJI_20260107143344_0009/04_visible_roi_resized_to_thermal_grid.png,outputs/part_b/review_packages/DJI_20260107143344_0009/05_thermal_visible_blend_overlay.png,outputs/part_b/review_packages/DJI_20260107143344_0009/06_side_by_side_visible_roi_and_thermal.png,outputs/part_b/review_packages/DJI_20260107143344_0009/07_contact_sheet.png,outputs/part_b/superpixels/DJI_20260107143344_0009_superpixel_overlay.png,outputs/part_b/superpixels/DJI_20260107143344_0009_segment_id_map.png,outputs/part_b/superpixels/DJI_20260107143344_0009_segment_boundary_overlay.png,outputs/part_b/superpixels/DJI_20260107143344_0009_segment_summary.csv,data/annotations/part_b_round1/DJI_20260107143344_0009_segment_annotation_template.csv,"visible image with 24 mm 35mm-equivalent focal length and matching actual focal length; ROI is a first-pass center estimate for manual review, not precise V/T registration."
5,selected from pilot_candidate_pairs.csv,HKUST high-priority local V/T pair; Garden Hill excluded; existing pilot grid output preferred.,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143401_0011,DJI_20260107143401_0011,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143401_0011_V.JPG,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143401_0011_T.JPG,4032,3024,640,512,M4T,M4T,6.7,12.0,24.0,52.0,400.819,400.791,22.336647222222222,114.26327222222223,-179.3,-90.0,180.0,-179.3,-90.0,180.0,wide_visible,high,visible image with 24 mm 35mm-equivalent focal length and matching actual focal length,metadata_fov_center_crop,medium,1108,786,2924,2239,1816,1453,0.4503968253968254,0.48048941798941797,Centered crop from visible image using thermal/visible FOV ratio; no feature matching or georeferenced registration applied.,skimage_slic,179,outputs/part_b/review_packages/DJI_20260107143401_0011,outputs/part_b/review_packages/DJI_20260107143401_0011/01_original_visible_preview.png,outputs/part_b/review_packages/DJI_20260107143401_0011/02_original_thermal_preview.png,outputs/part_b/review_packages/DJI_20260107143401_0011/03_estimated_visible_roi_overlay.png,outputs/part_b/review_packages/DJI_20260107143401_0011/04_visible_roi_resized_to_thermal_grid.png,outputs/part_b/review_packages/DJI_20260107143401_0011/05_thermal_visible_blend_overlay.png,outputs/part_b/review_packages/DJI_20260107143401_0011/06_side_by_side_visible_roi_and_thermal.png,outputs/part_b/review_packages/DJI_20260107143401_0011/07_contact_sheet.png,outputs/part_b/superpixels/DJI_20260107143401_0011_superpixel_overlay.png,outputs/part_b/superpixels/DJI_20260107143401_0011_segment_id_map.png,outputs/part_b/superpixels/DJI_20260107143401_0011_segment_boundary_overlay.png,outputs/part_b/superpixels/DJI_20260107143401_0011_segment_summary.csv,data/annotations/part_b_round1/DJI_20260107143401_0011_segment_annotation_template.csv,"visible image with 24 mm 35mm-equivalent focal length and matching actual focal length; ROI is a first-pass center estimate for manual review, not precise V/T registration."
