recurring_image_count,coordinate_count,example_coordinates_row_col,image_ids
5,0,,
4,0,,
3,0,,
2,18,"230,401; 230,402; 231,392; 233,392; 310,563; 310,564; 485,329; 486,330; 488,333; 488,334",DJI_20260107143259_0005+DJI_20260107143401_0011 | DJI_20260107143259_0005+DJI_20260107143401_0011 | DJI_20260107143259_0005+DJI_20260107143401_0011
