pair_id,image_id,t_path,extraction_method,temperature_unit,extraction_status,temperature_shape,expected_thermal_shape,part_c_class_mask_shape,part_c_shadow_mask_shape,aligns_with_part_c_masks,temperature_min_c,temperature_max_c,temperature_mean_c,temperature_median_c,temperature_std_c,nan_count,invalid_count,validation_status,validation_flags,npy_path,csv_path,preview_png_path,metadata_json_path,notes
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,DJI Thermal SDK dji_irp.exe measure float32,Celsius interpreted from SDK measure output,success,512x640,512x640,512x640,512x640,yes,-19.389074,42.374504,11.728144,10.485468,4.021165,0,0,warn,outside_typical_surface_temperature_review_range,data/processed/part_d/temperature_matrices/DJI_20260107143259_0005_temperature_celsius.npy,data/processed/part_d/temperature_matrices/DJI_20260107143259_0005_temperature_celsius.csv,outputs/part_d/previews/DJI_20260107143259_0005_temperature_preview.png,data/processed/part_d/temperature_matrices/DJI_20260107143259_0005_temperature_metadata.json,extracted and aligned; QA flags: outside_typical_surface_temperature_review_range
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,DJI_20260107143320_0007,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143320_0007_T.JPG,DJI Thermal SDK dji_irp.exe measure float32,Celsius interpreted from SDK measure output,success,512x640,512x640,512x640,512x640,yes,-24.187902,44.43914,13.63475,11.952875,5.226282,0,0,warn,outside_typical_surface_temperature_review_range,data/processed/part_d/temperature_matrices/DJI_20260107143320_0007_temperature_celsius.npy,data/processed/part_d/temperature_matrices/DJI_20260107143320_0007_temperature_celsius.csv,outputs/part_d/previews/DJI_20260107143320_0007_temperature_preview.png,data/processed/part_d/temperature_matrices/DJI_20260107143320_0007_temperature_metadata.json,extracted and aligned; QA flags: outside_typical_surface_temperature_review_range
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143328_0008,DJI_20260107143328_0008,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143328_0008_T.JPG,DJI Thermal SDK dji_irp.exe measure float32,Celsius interpreted from SDK measure output,success,512x640,512x640,512x640,512x640,yes,-26.157614,44.515831,13.364334,11.65954,5.430741,0,0,warn,outside_typical_surface_temperature_review_range,data/processed/part_d/temperature_matrices/DJI_20260107143328_0008_temperature_celsius.npy,data/processed/part_d/temperature_matrices/DJI_20260107143328_0008_temperature_celsius.csv,outputs/part_d/previews/DJI_20260107143328_0008_temperature_preview.png,data/processed/part_d/temperature_matrices/DJI_20260107143328_0008_temperature_metadata.json,extracted and aligned; QA flags: outside_typical_surface_temperature_review_range
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,DJI_20260107143344_0009,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143344_0009_T.JPG,DJI Thermal SDK dji_irp.exe measure float32,Celsius interpreted from SDK measure output,success,512x640,512x640,512x640,512x640,yes,-25.896322,45.51281,13.299032,11.512873,5.693014,0,0,warn,outside_typical_surface_temperature_review_range,data/processed/part_d/temperature_matrices/DJI_20260107143344_0009_temperature_celsius.npy,data/processed/part_d/temperature_matrices/DJI_20260107143344_0009_temperature_celsius.csv,outputs/part_d/previews/DJI_20260107143344_0009_temperature_preview.png,data/processed/part_d/temperature_matrices/DJI_20260107143344_0009_temperature_metadata.json,extracted and aligned; QA flags: outside_typical_surface_temperature_review_range
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143401_0011,DJI_20260107143401_0011,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143401_0011_T.JPG,DJI Thermal SDK dji_irp.exe measure float32,Celsius interpreted from SDK measure output,success,512x640,512x640,512x640,512x640,yes,-31.229254,37.284782,13.23331,11.806177,6.307342,0,0,warn,outside_typical_surface_temperature_review_range,data/processed/part_d/temperature_matrices/DJI_20260107143401_0011_temperature_celsius.npy,data/processed/part_d/temperature_matrices/DJI_20260107143401_0011_temperature_celsius.csv,outputs/part_d/previews/DJI_20260107143401_0011_temperature_preview.png,data/processed/part_d/temperature_matrices/DJI_20260107143401_0011_temperature_metadata.json,extracted and aligned; QA flags: outside_typical_surface_temperature_review_range
