image_id,acquisition_datetime,ambient_temperature_c,ambient_source,ambient_source_id,ambient_observation_datetime,ambient_time_difference_minutes,ambient_matching_method,ambient_qa_status,ambient_notes
DJI_20260107143259_0005,2026-01-07 14:32:59,11.0,tat3_exported_report_parameter,outputs/part_d/qa/tat3_parameter_audit/part_d_tat3_pilot_parameters.csv,2026-01-07 14:32:59,0,same_image_tat3_parameter,tat3_parameter_ingested,Seeded from Part D TAT3 parameter ingest. Replace only with a documented project-approved source.
DJI_20260107143320_0007,2026-01-07 14:33:20,10.6,tat3_exported_report_parameter,outputs/part_d/qa/tat3_parameter_audit/part_d_tat3_pilot_parameters.csv,2026-01-07 14:33:20,0,same_image_tat3_parameter,tat3_parameter_ingested,Seeded from Part D TAT3 parameter ingest. Replace only with a documented project-approved source.
DJI_20260107143328_0008,2026-01-07 14:33:28,10.5,tat3_exported_report_parameter,outputs/part_d/qa/tat3_parameter_audit/part_d_tat3_pilot_parameters.csv,2026-01-07 14:33:28,0,same_image_tat3_parameter,tat3_parameter_ingested,Seeded from Part D TAT3 parameter ingest. Replace only with a documented project-approved source.
DJI_20260107143344_0009,2026-01-07 14:33:44,9.9,tat3_exported_report_parameter,outputs/part_d/qa/tat3_parameter_audit/part_d_tat3_pilot_parameters.csv,2026-01-07 14:33:44,0,same_image_tat3_parameter,tat3_parameter_ingested,Seeded from Part D TAT3 parameter ingest. Replace only with a documented project-approved source.
DJI_20260107143401_0011,2026-01-07 14:34:01,9.9,tat3_exported_report_parameter,outputs/part_d/qa/tat3_parameter_audit/part_d_tat3_pilot_parameters.csv,2026-01-07 14:34:01,0,same_image_tat3_parameter,tat3_parameter_ingested,Seeded from Part D TAT3 parameter ingest. Replace only with a documented project-approved source.
