surface_cover_class,n_pixels_full,n_images,mean_full,median_full,std_full,min_full,q05_full,q25_full,q75_full,q95_full,max_full,n_pixels_sampled,mean_sampled,median_sampled
vegetation_tree,696329,5,2.8211572936989784,2.4676761627197266,2.166181683283502,-18.76581382751465,0.19719886779785156,1.4849796295166016,3.719989776611328,6.533838272094727,35.454864501953125,10000,3.203602381372452,2.72442626953125
roof,569601,5,6.99814878441668,6.652790069580078,6.896992961012694,-39.05314254760742,-1.8846244812011719,1.5606327056884766,11.886737823486328,18.485279083251953,37.27214813232422,9406,6.92577923619187,6.413726806640625
concrete_pavement,322856,5,7.098602441362883,5.707605361938477,5.912238014812027,-37.18662643432617,0.3943061828613281,3.02630615234375,10.799951553344727,17.729736328125,38.98963928222656,6677,6.874554135261297,5.556970596313477
grass_low_vegetation,39392,5,11.207520475191957,12.364801406860352,4.319907964124851,-1.1999015808105469,1.8327827453613281,9.2601318359375,13.883056640625,16.9515323638916,24.01360321044922,770,10.567997910140397,11.9466552734375
bare_soil,10222,2,12.462929919469943,14.150110244750977,5.552104852668175,-2.661530017852783,1.136749267578125,11.022607803344727,16.065338134765625,18.940948486328125,20.836639404296875,221,11.842671571274149,13.331781387329102
