analysis_family,record_type,sampling_seed,is_primary_seed,group_a,group_b,sampled_n_a,sampled_n_b,sampled_mean_a,sampled_mean_b,sampled_median_a,sampled_median_b,q25_a,q75_a,pairwise_mean_difference,pairwise_median_difference,effect_size_rank_biserial,sign_agreement_mean_fraction,sign_agreement_median_fraction,sign_agreement_effect_fraction,stability_status
luhk,pair,20260716,False,51 | Other urban / built-up land,71 | Woodland / shrubland / grassland / wetland,4,1346.0,4.051210403442383,2.289460428756555,3.7128849029541016,2.089929580688477,3.467721939086914,4.29637336730957,1.7617499746858276,1.622955322265625,0.7044947994056463,1.0,1.0,1.0,insufficient_coverage_for_conclusion
luhk,pair,20260716,False,51 | Other urban / built-up land,72 | Woodland / shrubland / grassland / wetland,4,613.0,4.051210403442383,1.959187845226991,3.7128849029541016,1.5606327056884766,3.467721939086914,4.29637336730957,2.092022558215392,2.152252197265625,0.7618270799347471,1.0,1.0,1.0,insufficient_coverage_for_conclusion
luhk,pair,20260716,False,51 | Other urban / built-up land,73 | Woodland / shrubland / grassland / wetland,4,150.0,4.051210403442383,1.5157511138916016,3.7128849029541016,1.1065311431884766,3.467721939086914,4.29637336730957,2.535459289550781,2.606353759765625,0.8899999999999999,1.0,1.0,1.0,insufficient_coverage_for_conclusion
luhk,pair,20260716,False,71 | Woodland / shrubland / grassland / wetland,72 | Woodland / shrubland / grassland / wetland,1346,613.0,2.289460428756555,1.959187845226991,2.089929580688477,1.5606327056884766,1.1821537017822266,3.1472415924072266,0.3302725835295641,0.529296875,0.1639381018981986,1.0,1.0,1.0,insufficient_coverage_for_conclusion
luhk,pair,20260716,False,71 | Woodland / shrubland / grassland / wetland,73 | Woodland / shrubland / grassland / wetland,1346,150.0,2.289460428756555,1.5157511138916016,2.089929580688477,1.1065311431884766,1.1821537017822266,3.1472415924072266,0.7737093148649536,0.9833984375,0.3082367508667658,1.0,1.0,1.0,stable_sign_across_seeds
luhk,pair,20260716,False,72 | Woodland / shrubland / grassland / wetland,73 | Woodland / shrubland / grassland / wetland,613,150.0,1.959187845226991,1.5157511138916016,1.5606327056884766,1.1065311431884766,0.7278079986572266,2.7699222564697266,0.4434367313353895,0.4541015625,0.1456769983686785,1.0,1.0,1.0,insufficient_coverage_for_conclusion
luhk,group,20260717,False,31 | GIC / open space,,10000,,5.606384887886048,,3.870685577392578,,1.8631534576416016,8.900135040283203,,,,,,,group_distribution_record
luhk,group,20260717,False,51 | Other urban / built-up land,,4,,4.315126419067383,,4.014398574829102,,3.731790542602539,4.597734451293945,,,,,,,group_distribution_record
luhk,group,20260717,False,71 | Woodland / shrubland / grassland / wetland,,1346,,2.264995171092063,,2.014337539672852,,1.1821537017822266,3.0718021392822266,,,,,,,group_distribution_record
luhk,group,20260717,False,72 | Woodland / shrubland / grassland / wetland,,613,,1.9490055283364425,,1.5606327056884766,,0.8035526275634766,2.694421768188477,,,,,,,group_distribution_record
luhk,group,20260717,False,73 | Woodland / shrubland / grassland / wetland,,150,,1.5061256663004556,,1.0307559967041016,,0.5762577056884766,2.3808398246765137,,,,,,,group_distribution_record
luhk,pair,20260717,False,31 | GIC / open space,51 | Other urban / built-up land,10000,4.0,5.606384887886048,4.315126419067383,3.870685577392578,4.014398574829102,1.8631534576416016,8.900135040283203,1.2912584688186648,-0.1437129974365234,-0.05935,0.85,0.4,0.25,insufficient_coverage_for_conclusion
luhk,pair,20260717,False,31 | GIC / open space,71 | Woodland / shrubland / grassland / wetland,10000,1346.0,5.606384887886048,2.264995171092063,3.870685577392578,2.014337539672852,1.8631534576416016,8.900135040283203,3.341389716793985,1.8563480377197263,0.3987110698365528,1.0,1.0,1.0,stable_sign_across_seeds
luhk,pair,20260717,False,31 | GIC / open space,72 | Woodland / shrubland / grassland / wetland,10000,613.0,5.606384887886048,1.9490055283364425,3.870685577392578,1.5606327056884766,1.8631534576416016,8.900135040283203,3.657379359549605,2.3100528717041016,0.4741535073409462,1.0,1.0,1.0,insufficient_coverage_for_conclusion
luhk,pair,20260717,False,31 | GIC / open space,73 | Woodland / shrubland / grassland / wetland,10000,150.0,5.606384887886048,1.5061256663004556,3.870685577392578,1.0307559967041016,1.8631534576416016,8.900135040283203,4.100259221585592,2.839929580688477,0.5565506666666666,1.0,1.0,1.0,stable_sign_across_seeds
luhk,pair,20260717,False,51 | Other urban / built-up land,71 | Woodland / shrubland / grassland / wetland,4,1346.0,4.315126419067383,2.264995171092063,4.014398574829102,2.014337539672852,3.731790542602539,4.597734451293945,2.05013124797532,2.00006103515625,0.7774888558692421,1.0,1.0,1.0,insufficient_coverage_for_conclusion
luhk,pair,20260717,False,51 | Other urban / built-up land,72 | Woodland / shrubland / grassland / wetland,4,613.0,4.315126419067383,1.9490055283364425,4.014398574829102,1.5606327056884766,3.731790542602539,4.597734451293945,2.36612089073094,2.453765869140625,0.8119902120717781,1.0,1.0,1.0,insufficient_coverage_for_conclusion
luhk,pair,20260717,False,51 | Other urban / built-up land,73 | Woodland / shrubland / grassland / wetland,4,150.0,4.315126419067383,1.5061256663004556,4.014398574829102,1.0307559967041016,3.731790542602539,4.597734451293945,2.809000752766927,2.983642578125,0.935,1.0,1.0,1.0,insufficient_coverage_for_conclusion
luhk,pair,20260717,False,71 | Woodland / shrubland / grassland / wetland,72 | Woodland / shrubland / grassland / wetland,1346,613.0,2.264995171092063,1.9490055283364425,2.014337539672852,1.5606327056884766,1.1821537017822266,3.0718021392822266,0.3159896427556206,0.453704833984375,0.1604827547757963,1.0,1.0,1.0,insufficient_coverage_for_conclusion
luhk,pair,20260717,False,71 | Woodland / shrubland / grassland / wetland,73 | Woodland / shrubland / grassland / wetland,1346,150.0,2.264995171092063,1.5061256663004556,2.014337539672852,1.0307559967041016,1.1821537017822266,3.0718021392822266,0.7588695047916074,0.98358154296875,0.3088509162951955,1.0,1.0,1.0,stable_sign_across_seeds
luhk,pair,20260717,False,72 | Woodland / shrubland / grassland / wetland,73 | Woodland / shrubland / grassland / wetland,613,150.0,1.9490055283364425,1.5061256663004556,1.5606327056884766,1.0307559967041016,0.8035526275634766,2.694421768188477,0.4428798620359868,0.529876708984375,0.1471125611745514,1.0,1.0,1.0,insufficient_coverage_for_conclusion
luhk,group,20260718,False,31 | GIC / open space,,10000,,5.583597066736221,,3.826074600219727,,1.832782745361328,8.675891876220703,,,,,,,group_distribution_record
luhk,group,20260718,False,51 | Other urban / built-up land,,4,,4.823663711547852,,4.805124282836914,,4.466424942016602,5.162363052368164,,,,,,,group_distribution_record
luhk,group,20260718,False,71 | Woodland / shrubland / grassland / wetland,,1346,,2.2881141183634925,,2.089929580688477,,1.125436782836914,3.1395039558410645,,,,,,,group_distribution_record
luhk,group,20260718,False,72 | Woodland / shrubland / grassland / wetland,,613,,1.942119806859077,,1.5606327056884766,,0.8035526275634766,2.694421768188477,,,,,,,group_distribution_record
luhk,group,20260718,False,73 | Woodland / shrubland / grassland / wetland,,150,,1.5112273915608725,,1.1065311431884766,,0.5952014923095703,2.448938369750977,,,,,,,group_distribution_record
luhk,pair,20260718,False,31 | GIC / open space,51 | Other urban / built-up land,10000,4.0,5.583597066736221,4.823663711547852,3.826074600219727,4.805124282836914,1.832782745361328,8.675891876220703,0.7599333551883696,-0.9790496826171876,-0.157525,0.85,0.4,0.25,insufficient_coverage_for_conclusion
luhk,pair,20260718,False,31 | GIC / open space,71 | Woodland / shrubland / grassland / wetland,10000,1346.0,5.583597066736221,2.2881141183634925,3.826074600219727,2.089929580688477,1.832782745361328,8.675891876220703,3.2954829483727286,1.73614501953125,0.3906130757800892,1.0,1.0,1.0,stable_sign_across_seeds
luhk,pair,20260718,False,31 | GIC / open space,72 | Woodland / shrubland / grassland / wetland,10000,613.0,5.583597066736221,1.942119806859077,3.826074600219727,1.5606327056884766,1.832782745361328,8.675891876220703,3.641477259877144,2.26544189453125,0.476936541598695,1.0,1.0,1.0,insufficient_coverage_for_conclusion
luhk,pair,20260718,False,31 | GIC / open space,73 | Woodland / shrubland / grassland / wetland,10000,150.0,5.583597066736221,1.5112273915608725,3.826074600219727,1.1065311431884766,1.832782745361328,8.675891876220703,4.072369675175349,2.71954345703125,0.553196,1.0,1.0,1.0,stable_sign_across_seeds
luhk,pair,20260718,False,51 | Other urban / built-up land,71 | Woodland / shrubland / grassland / wetland,4,1346.0,4.823663711547852,2.2881141183634925,4.805124282836914,2.089929580688477,4.466424942016602,5.162363052368164,2.535549593184359,2.715194702148437,0.8824294205052006,1.0,1.0,1.0,insufficient_coverage_for_conclusion
luhk,pair,20260718,False,51 | Other urban / built-up land,72 | Woodland / shrubland / grassland / wetland,4,613.0,4.823663711547852,1.942119806859077,4.805124282836914,1.5606327056884766,4.466424942016602,5.162363052368164,2.8815439046887743,3.244491577148437,0.8792822185970637,1.0,1.0,1.0,insufficient_coverage_for_conclusion
luhk,pair,20260718,False,51 | Other urban / built-up land,73 | Woodland / shrubland / grassland / wetland,4,150.0,4.823663711547852,1.5112273915608725,4.805124282836914,1.1065311431884766,4.466424942016602,5.162363052368164,3.312436319986979,3.6985931396484375,0.98,1.0,1.0,1.0,insufficient_coverage_for_conclusion
luhk,pair,20260718,False,71 | Woodland / shrubland / grassland / wetland,72 | Woodland / shrubland / grassland / wetland,1346,613.0,2.2881141183634925,1.942119806859077,2.089929580688477,1.5606327056884766,1.125436782836914,3.1395039558410645,0.3459943115044155,0.529296875,0.1729818760922945,1.0,1.0,1.0,insufficient_coverage_for_conclusion
luhk,pair,20260718,False,71 | Woodland / shrubland / grassland / wetland,73 | Woodland / shrubland / grassland / wetland,1346,150.0,2.2881141183634925,1.5112273915608725,2.089929580688477,1.1065311431884766,1.125436782836914,3.1395039558410645,0.77688672680262,0.9833984375,0.3019019316493314,1.0,1.0,1.0,stable_sign_across_seeds
