observation_id,primary_key,analysis_variant,image_id,flight_id,pair_id,acquisition_datetime,cell_id,luhk_row,luhk_col,cell_center_x_2326,cell_center_y_2326,cell_min_x_2326,cell_max_x_2326,cell_min_y_2326,cell_max_y_2326,luhk_original_code,luhk_original_class,luhk_aggregated_class,luhk_majority_fraction,mixed_luhk_flag,dominant_physical_surface_cover_class_id,dominant_physical_surface_cover_class,dominant_physical_surface_cover_pixel_count,dominant_physical_surface_cover_fraction,total_mapped_pixel_count,valid_temperature_pixel_count,valid_temperature_coverage_fraction,cell_thermal_coverage_fraction,mean_surface_temperature_c,median_surface_temperature_c,std_surface_temperature_c,min_surface_temperature_c,max_surface_temperature_c,p01_surface_temperature_c,p99_surface_temperature_c,below_0_c_pixel_count,below_0_c_pixel_fraction,below_minus_5_c_pixel_count,below_minus_5_c_pixel_fraction,below_minus_10_c_pixel_count,below_minus_10_c_pixel_fraction,shadow_pixel_count,shadow_fraction,ambient_temperature_c,ambient_source,ambient_source_id,ambient_observation_datetime,ambient_time_difference_minutes,ambient_matching_method,ambient_qa_status,delta_t_mean_c,delta_t_median_c,part_c_qa_status,part_d_qa_status,provisional_result_flag,provisional_result_note,analysis_valid,exclusion_reason,qa_warning_flag
DJI_20260107143259_0005__LUHK_r02555_c04514,DJI_20260107143259_0005__LUHK_r02555_c04514,all_finite,DJI_20260107143259_0005,DJI_202601071424_001,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,2026-01-07 14:32:59,LUHK_r02555_c04514,2555,4514,845145.0,822445.0,845140.0,845150.0,822440.0,822450.0,71,71,Woodland / shrubland / grassland / wetland,1.0,0,4,vegetation_tree,250,1.0,250,250,1.0,0.40627,11.319254,11.145227,1.236077,9.458338,16.066889,9.567514,15.331873,0,0.0,0,0.0,0,0.0,0,0.0,11.0,user_provided_chat_message,codex_user_message_2026-07-15,2026-01-07 14:32:59,0,user_provided_exact_image_match,user_provided_provisional,0.319254,0.145227,pass,warn,1,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.,1,,1
DJI_20260107143259_0005__LUHK_r02555_c04515,DJI_20260107143259_0005__LUHK_r02555_c04515,all_finite,DJI_20260107143259_0005,DJI_202601071424_001,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,2026-01-07 14:32:59,LUHK_r02555_c04515,2555,4515,845155.0,822445.0,845150.0,845160.0,822440.0,822450.0,71,71,Woodland / shrubland / grassland / wetland,1.0,0,4,vegetation_tree,240,1.0,240,240,1.0,0.40627,12.255823,12.466303,1.005422,9.972437,14.229944,10.04571,14.00976,0,0.0,0,0.0,0,0.0,0,0.0,11.0,user_provided_chat_message,codex_user_message_2026-07-15,2026-01-07 14:32:59,0,user_provided_exact_image_match,user_provided_provisional,1.255823,1.466303,pass,warn,1,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.,1,,1
DJI_20260107143259_0005__LUHK_r02555_c04516,DJI_20260107143259_0005__LUHK_r02555_c04516,all_finite,DJI_20260107143259_0005,DJI_202601071424_001,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,2026-01-07 14:32:59,LUHK_r02555_c04516,2555,4516,845165.0,822445.0,845160.0,845170.0,822440.0,822450.0,71,71,Woodland / shrubland / grassland / wetland,1.0,0,4,vegetation_tree,250,1.0,250,250,1.0,0.40627,11.944915,11.952875,0.525551,10.851954,13.201746,10.851954,13.018618,0,0.0,0,0.0,0,0.0,0,0.0,11.0,user_provided_chat_message,codex_user_message_2026-07-15,2026-01-07 14:32:59,0,user_provided_exact_image_match,user_provided_provisional,0.944915,0.952875,pass,warn,1,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.,1,,1
DJI_20260107143259_0005__LUHK_r02555_c04517,DJI_20260107143259_0005__LUHK_r02555_c04517,all_finite,DJI_20260107143259_0005,DJI_202601071424_001,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,2026-01-07 14:32:59,LUHK_r02555_c04517,2555,4517,845175.0,822445.0,845170.0,845180.0,822440.0,822450.0,71,71,Woodland / shrubland / grassland / wetland,1.0,0,4,vegetation_tree,250,1.0,250,250,1.0,0.40627,10.825836,10.632044,1.092233,9.386286,13.788782,9.457495,13.459285,0,0.0,0,0.0,0,0.0,0,0.0,11.0,user_provided_chat_message,codex_user_message_2026-07-15,2026-01-07 14:32:59,0,user_provided_exact_image_match,user_provided_provisional,-0.174164,-0.367956,pass,warn,1,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.,1,,1
DJI_20260107143259_0005__LUHK_r02555_c04518,DJI_20260107143259_0005__LUHK_r02555_c04518,all_finite,DJI_20260107143259_0005,DJI_202601071424_001,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,2026-01-07 14:32:59,LUHK_r02555_c04518,2555,4518,845185.0,822445.0,845180.0,845190.0,822440.0,822450.0,71,71,Woodland / shrubland / grassland / wetland,1.0,0,4,vegetation_tree,240,1.0,240,240,1.0,0.40627,12.024314,12.063364,1.098655,9.752619,14.596949,10.04571,14.290862,0,0.0,0,0.0,0,0.0,0,0.0,11.0,user_provided_chat_message,codex_user_message_2026-07-15,2026-01-07 14:32:59,0,user_provided_exact_image_match,user_provided_provisional,1.024314,1.063364,pass,warn,1,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.,1,,1
DJI_20260107143259_0005__LUHK_r02555_c04519,DJI_20260107143259_0005__LUHK_r02555_c04519,all_finite,DJI_20260107143259_0005,DJI_202601071424_001,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,2026-01-07 14:32:59,LUHK_r02555_c04519,2555,4519,845195.0,822445.0,845190.0,845200.0,822440.0,822450.0,71,71,Woodland / shrubland / grassland / wetland,1.0,0,4,vegetation_tree,250,1.0,250,250,1.0,0.40627,10.82039,10.558741,0.816507,9.53161,12.981653,9.604883,12.762609,0,0.0,0,0.0,0,0.0,0,0.0,11.0,user_provided_chat_message,codex_user_message_2026-07-15,2026-01-07 14:32:59,0,user_provided_exact_image_match,user_provided_provisional,-0.17961,-0.441259,pass,warn,1,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.,1,,1
DJI_20260107143259_0005__LUHK_r02555_c04520,DJI_20260107143259_0005__LUHK_r02555_c04520,all_finite,DJI_20260107143259_0005,DJI_202601071424_001,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,2026-01-07 14:32:59,LUHK_r02555_c04520,2555,4520,845205.0,822445.0,845200.0,845210.0,822440.0,822450.0,71,71,Woodland / shrubland / grassland / wetland,1.0,0,4,vegetation_tree,250,1.0,250,250,1.0,0.40627,10.388038,10.265558,0.504003,9.458338,12.393885,9.567514,11.329794,0,0.0,0,0.0,0,0.0,0,0.0,11.0,user_provided_chat_message,codex_user_message_2026-07-15,2026-01-07 14:32:59,0,user_provided_exact_image_match,user_provided_provisional,-0.611962,-0.734442,pass,warn,1,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.,1,,1
DJI_20260107143259_0005__LUHK_r02555_c04521,DJI_20260107143259_0005__LUHK_r02555_c04521,all_finite,DJI_20260107143259_0005,DJI_202601071424_001,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,2026-01-07 14:32:59,LUHK_r02555_c04521,2555,4521,845215.0,822445.0,845210.0,845220.0,822440.0,822450.0,71,71,Woodland / shrubland / grassland / wetland,1.0,0,4,vegetation_tree,240,1.0,240,240,1.0,0.40627,10.730584,10.669245,0.52974,9.899164,12.099543,9.92774,11.952875,0,0.0,0,0.0,0,0.0,0,0.0,11.0,user_provided_chat_message,codex_user_message_2026-07-15,2026-01-07 14:32:59,0,user_provided_exact_image_match,user_provided_provisional,-0.269416,-0.330755,pass,warn,1,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.,1,,1
DJI_20260107143259_0005__LUHK_r02555_c04522,DJI_20260107143259_0005__LUHK_r02555_c04522,all_finite,DJI_20260107143259_0005,DJI_202601071424_001,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,2026-01-07 14:32:59,LUHK_r02555_c04522,2555,4522,845225.0,822445.0,845220.0,845230.0,822440.0,822450.0,71,71,Woodland / shrubland / grassland / wetland,1.0,0,4,vegetation_tree,250,1.0,250,250,1.0,0.40627,11.084532,11.072962,0.741541,9.752619,13.054132,9.824701,12.834955,0,0.0,0,0.0,0,0.0,0,0.0,11.0,user_provided_chat_message,codex_user_message_2026-07-15,2026-01-07 14:32:59,0,user_provided_exact_image_match,user_provided_provisional,0.084532,0.072962,pass,warn,1,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.,1,,1
DJI_20260107143259_0005__LUHK_r02555_c04523,DJI_20260107143259_0005__LUHK_r02555_c04523,all_finite,DJI_20260107143259_0005,DJI_202601071424_001,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,2026-01-07 14:32:59,LUHK_r02555_c04523,2555,4523,845235.0,822445.0,845230.0,845240.0,822440.0,822450.0,72,72,Woodland / shrubland / grassland / wetland,1.0,0,4,vegetation_tree,250,1.0,250,250,1.0,0.40627,10.277875,10.04571,0.533956,9.678156,12.834955,9.714643,12.394406,0,0.0,0,0.0,0,0.0,0,0.0,11.0,user_provided_chat_message,codex_user_message_2026-07-15,2026-01-07 14:32:59,0,user_provided_exact_image_match,user_provided_provisional,-0.722125,-0.95429,pass,warn,1,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.,1,,1
DJI_20260107143259_0005__LUHK_r02555_c04524,DJI_20260107143259_0005__LUHK_r02555_c04524,all_finite,DJI_20260107143259_0005,DJI_202601071424_001,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,2026-01-07 14:32:59,LUHK_r02555_c04524,2555,4524,845245.0,822445.0,845240.0,845250.0,822440.0,822450.0,72,72,Woodland / shrubland / grassland / wetland,1.0,0,4,vegetation_tree,240,1.0,240,240,1.0,0.40627,11.176461,11.32905,0.802395,9.678156,12.834955,9.752619,12.658699,0,0.0,0,0.0,0,0.0,0,0.0,11.0,user_provided_chat_message,codex_user_message_2026-07-15,2026-01-07 14:32:59,0,user_provided_exact_image_match,user_provided_provisional,0.176461,0.32905,pass,warn,1,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.,1,,1
DJI_20260107143259_0005__LUHK_r02555_c04525,DJI_20260107143259_0005__LUHK_r02555_c04525,all_finite,DJI_20260107143259_0005,DJI_202601071424_001,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,2026-01-07 14:32:59,LUHK_r02555_c04525,2555,4525,845255.0,822445.0,845250.0,845260.0,822440.0,822450.0,72,72,Woodland / shrubland / grassland / wetland,1.0,0,4,vegetation_tree,250,1.0,250,250,1.0,0.40627,11.400976,11.291864,0.813602,10.191156,13.788782,10.227613,13.312108,0,0.0,0,0.0,0,0.0,0,0.0,11.0,user_provided_chat_message,codex_user_message_2026-07-15,2026-01-07 14:32:59,0,user_provided_exact_image_match,user_provided_provisional,0.400976,0.291864,pass,warn,1,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.,1,,1
DJI_20260107143259_0005__LUHK_r02555_c04526,DJI_20260107143259_0005__LUHK_r02555_c04526,all_finite,DJI_20260107143259_0005,DJI_202601071424_001,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,2026-01-07 14:32:59,LUHK_r02555_c04526,2555,4526,845265.0,822445.0,845260.0,845270.0,822440.0,822450.0,72,72,Woodland / shrubland / grassland / wetland,1.0,0,4,vegetation_tree,250,1.0,250,250,1.0,0.40627,10.618783,10.338861,0.822089,9.678156,14.376734,9.752619,13.791702,0,0.0,0,0.0,0,0.0,0,0.0,11.0,user_provided_chat_message,codex_user_message_2026-07-15,2026-01-07 14:32:59,0,user_provided_exact_image_match,user_provided_provisional,-0.381217,-0.661139,pass,warn,1,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.,1,,1
DJI_20260107143259_0005__LUHK_r02555_c04527,DJI_20260107143259_0005__LUHK_r02555_c04527,all_finite,DJI_20260107143259_0005,DJI_202601071424_001,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,2026-01-07 14:32:59,LUHK_r02555_c04527,2555,4527,845275.0,822445.0,845270.0,845280.0,822440.0,822450.0,71,71,Woodland / shrubland / grassland / wetland,1.0,0,4,vegetation_tree,240,1.0,240,240,1.0,0.40627,12.122667,12.466303,1.384876,9.824701,15.038172,9.899164,14.731764,0,0.0,0,0.0,0,0.0,0,0.0,11.0,user_provided_chat_message,codex_user_message_2026-07-15,2026-01-07 14:32:59,0,user_provided_exact_image_match,user_provided_provisional,1.122667,1.466303,pass,warn,1,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.,1,,1
DJI_20260107143259_0005__LUHK_r02555_c04528,DJI_20260107143259_0005__LUHK_r02555_c04528,all_finite,DJI_20260107143259_0005,DJI_202601071424_001,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,2026-01-07 14:32:59,LUHK_r02555_c04528,2555,4528,845285.0,822445.0,845280.0,845290.0,822440.0,822450.0,71,71,Woodland / shrubland / grassland / wetland,1.0,0,4,vegetation_tree,250,1.0,250,250,1.0,0.40627,10.311268,10.04571,0.6668,9.53161,12.907373,9.567514,12.430818,0,0.0,0,0.0,0,0.0,0,0.0,11.0,user_provided_chat_message,codex_user_message_2026-07-15,2026-01-07 14:32:59,0,user_provided_exact_image_match,user_provided_provisional,-0.688732,-0.95429,pass,warn,1,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.,1,,1
DJI_20260107143259_0005__LUHK_r02555_c04529,DJI_20260107143259_0005__LUHK_r02555_c04529,all_finite,DJI_20260107143259_0005,DJI_202601071424_001,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,2026-01-07 14:32:59,LUHK_r02555_c04529,2555,4529,845295.0,822445.0,845290.0,845300.0,822440.0,822450.0,72,72,Woodland / shrubland / grassland / wetland,1.0,0,4,vegetation_tree,250,1.0,250,250,1.0,0.40627,12.148119,12.099543,1.305338,9.752619,14.817957,10.008341,14.670343,0,0.0,0,0.0,0,0.0,0,0.0,11.0,user_provided_chat_message,codex_user_message_2026-07-15,2026-01-07 14:32:59,0,user_provided_exact_image_match,user_provided_provisional,1.148119,1.099543,pass,warn,1,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.,1,,1
DJI_20260107143259_0005__LUHK_r02555_c04530,DJI_20260107143259_0005__LUHK_r02555_c04530,all_finite,DJI_20260107143259_0005,DJI_202601071424_001,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,2026-01-07 14:32:59,LUHK_r02555_c04530,2555,4530,845305.0,822445.0,845300.0,845310.0,822440.0,822450.0,72,72,Woodland / shrubland / grassland / wetland,1.0,0,4,vegetation_tree,80,1.0,80,80,1.0,0.13625,13.860567,13.935541,0.466405,12.687311,14.890589,12.9771,14.716595,0,0.0,0,0.0,0,0.0,0,0.0,11.0,user_provided_chat_message,codex_user_message_2026-07-15,2026-01-07 14:32:59,0,user_provided_exact_image_match,user_provided_provisional,2.860567,2.935541,pass,warn,1,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.,1,,1
DJI_20260107143259_0005__LUHK_r02556_c04504,DJI_20260107143259_0005__LUHK_r02556_c04504,all_finite,DJI_20260107143259_0005,DJI_202601071424_001,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,2026-01-07 14:32:59,LUHK_r02556_c04504,2556,4504,845045.0,822435.0,845040.0,845050.0,822430.0,822440.0,71,71,Woodland / shrubland / grassland / wetland,1.0,0,4,vegetation_tree,375,1.0,375,375,1.0,0.606738,11.867844,11.879511,0.737168,10.338861,13.568628,10.485468,13.421869,0,0.0,0,0.0,0,0.0,0,0.0,11.0,user_provided_chat_message,codex_user_message_2026-07-15,2026-01-07 14:32:59,0,user_provided_exact_image_match,user_provided_provisional,0.867844,0.879511,pass,warn,1,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.,1,,1
