analysis_family,group_name,image_id,eligible_pixel_count,sampled_pixel_count,sampling_fraction,sampling_seed,sampling_method,spatial_tile_size_px,max_pixels_per_group,max_pixels_per_image_per_group
luhk_surface_cover,31 | GIC / open space | concrete_pavement,DJI_20260107143320_0007,67562,1427,0.021121340398448832,20260715,spatially_thinned_stratified_pseudorandom,8,10000,2500
luhk_surface_cover,31 | GIC / open space | concrete_pavement,DJI_20260107143328_0008,64721,1274,0.019684491895984303,20260715,spatially_thinned_stratified_pseudorandom,8,10000,2500
luhk_surface_cover,31 | GIC / open space | concrete_pavement,DJI_20260107143344_0009,75342,1602,0.02126304053515967,20260715,spatially_thinned_stratified_pseudorandom,8,10000,2500
luhk_surface_cover,31 | GIC / open space | concrete_pavement,DJI_20260107143401_0011,94360,1898,0.020114455277660027,20260715,spatially_thinned_stratified_pseudorandom,8,10000,2500
luhk_surface_cover,31 | GIC / open space | grass_low_vegetation,DJI_20260107143259_0005,14540,263,0.018088033012379642,20260715,spatially_thinned_stratified_pseudorandom,8,10000,2500
luhk_surface_cover,31 | GIC / open space | grass_low_vegetation,DJI_20260107143320_0007,14241,301,0.02113615616880837,20260715,spatially_thinned_stratified_pseudorandom,8,10000,2500
luhk_surface_cover,31 | GIC / open space | grass_low_vegetation,DJI_20260107143328_0008,6749,130,0.019262112905615646,20260715,spatially_thinned_stratified_pseudorandom,8,10000,2500
luhk_surface_cover,31 | GIC / open space | grass_low_vegetation,DJI_20260107143344_0009,2831,53,0.018721299894030378,20260715,spatially_thinned_stratified_pseudorandom,8,10000,2500
luhk_surface_cover,31 | GIC / open space | grass_low_vegetation,DJI_20260107143401_0011,1031,23,0.02230843840931135,20260715,spatially_thinned_stratified_pseudorandom,8,10000,2500
luhk_surface_cover,31 | GIC / open space | roof,DJI_20260107143259_0005,29675,630,0.02122999157540017,20260715,spatially_thinned_stratified_pseudorandom,8,10000,2500
luhk_surface_cover,31 | GIC / open space | roof,DJI_20260107143320_0007,91251,1685,0.01846555106245411,20260715,spatially_thinned_stratified_pseudorandom,8,10000,2500
luhk_surface_cover,31 | GIC / open space | roof,DJI_20260107143328_0008,124088,2083,0.01678647411514409,20260715,spatially_thinned_stratified_pseudorandom,8,10000,2500
luhk_surface_cover,31 | GIC / open space | roof,DJI_20260107143344_0009,163090,2500,0.015328959470231161,20260715,spatially_thinned_stratified_pseudorandom,8,10000,2500
luhk_surface_cover,31 | GIC / open space | roof,DJI_20260107143401_0011,161028,2500,0.015525250267034305,20260715,spatially_thinned_stratified_pseudorandom,8,10000,2500
luhk_surface_cover,31 | GIC / open space | vegetation_tree,DJI_20260107143259_0005,157571,2500,0.015865863642421513,20260715,spatially_thinned_stratified_pseudorandom,8,10000,2500
luhk_surface_cover,31 | GIC / open space | vegetation_tree,DJI_20260107143320_0007,137729,2500,0.01815158753784606,20260715,spatially_thinned_stratified_pseudorandom,8,10000,2500
luhk_surface_cover,31 | GIC / open space | vegetation_tree,DJI_20260107143328_0008,129442,2297,0.017745399483938752,20260715,spatially_thinned_stratified_pseudorandom,8,10000,2500
luhk_surface_cover,31 | GIC / open space | vegetation_tree,DJI_20260107143344_0009,86417,1486,0.017195690662716825,20260715,spatially_thinned_stratified_pseudorandom,8,10000,2500
luhk_surface_cover,31 | GIC / open space | vegetation_tree,DJI_20260107143401_0011,70769,1217,0.017196795206940892,20260715,spatially_thinned_stratified_pseudorandom,8,10000,2500
