observation_id,primary_key,analysis_variant,image_id,flight_id,pair_id,acquisition_datetime,cell_id,luhk_row,luhk_col,cell_center_x_2326,cell_center_y_2326,luhk_original_code,luhk_original_class,luhk_aggregated_class,physical_surface_cover_class_id,physical_surface_cover_class,class_pixel_count,valid_classified_pixel_count_in_cell,class_fraction_of_valid_classified_pixels,class_thermal_pixel_count,class_valid_temperature_count,class_temperature_coverage_fraction,class_mean_surface_temperature_c,class_median_surface_temperature_c,class_std_surface_temperature_c,class_min_surface_temperature_c,class_max_surface_temperature_c,class_below_0_c_pixel_count,class_below_0_c_pixel_fraction,class_below_minus_5_c_pixel_count,class_below_minus_5_c_pixel_fraction,class_below_minus_10_c_pixel_count,class_below_minus_10_c_pixel_fraction,class_shadow_pixel_count,class_shadow_fraction,ambient_temperature_c,ambient_source,ambient_source_id,ambient_observation_datetime,ambient_time_difference_minutes,ambient_matching_method,ambient_qa_status,class_delta_t_mean_c,class_delta_t_median_c,part_c_qa_status,part_d_qa_status,provisional_result_flag,provisional_result_note,analysis_valid,exclusion_reason,qa_warning_flag
DJI_20260107143259_0005__LUHK_r02555_c04514__cover_4,DJI_20260107143259_0005__LUHK_r02555_c04514__cover_4,all_finite,DJI_20260107143259_0005,DJI_202601071424_001,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,2026-01-07 14:32:59,LUHK_r02555_c04514,2555,4514,845145.0,822445.0,71,71,Woodland / shrubland / grassland / wetland,4,vegetation_tree,250,250,1.0,250,250,1.0,11.319254,11.145227,1.236077,9.458338,16.066889,0,0.0,0,0.0,0,0.0,0,0.0,11.0,user_provided_chat_message,codex_user_message_2026-07-15,2026-01-07 14:32:59,0,user_provided_exact_image_match,user_provided_provisional,0.319254,0.145227,pass,warn,1,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.,1,,1
DJI_20260107143259_0005__LUHK_r02555_c04515__cover_4,DJI_20260107143259_0005__LUHK_r02555_c04515__cover_4,all_finite,DJI_20260107143259_0005,DJI_202601071424_001,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,2026-01-07 14:32:59,LUHK_r02555_c04515,2555,4515,845155.0,822445.0,71,71,Woodland / shrubland / grassland / wetland,4,vegetation_tree,240,240,1.0,240,240,1.0,12.255823,12.466303,1.005422,9.972437,14.229944,0,0.0,0,0.0,0,0.0,0,0.0,11.0,user_provided_chat_message,codex_user_message_2026-07-15,2026-01-07 14:32:59,0,user_provided_exact_image_match,user_provided_provisional,1.255823,1.466303,pass,warn,1,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.,1,,1
DJI_20260107143259_0005__LUHK_r02555_c04516__cover_4,DJI_20260107143259_0005__LUHK_r02555_c04516__cover_4,all_finite,DJI_20260107143259_0005,DJI_202601071424_001,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,2026-01-07 14:32:59,LUHK_r02555_c04516,2555,4516,845165.0,822445.0,71,71,Woodland / shrubland / grassland / wetland,4,vegetation_tree,250,250,1.0,250,250,1.0,11.944915,11.952875,0.525551,10.851954,13.201746,0,0.0,0,0.0,0,0.0,0,0.0,11.0,user_provided_chat_message,codex_user_message_2026-07-15,2026-01-07 14:32:59,0,user_provided_exact_image_match,user_provided_provisional,0.944915,0.952875,pass,warn,1,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.,1,,1
DJI_20260107143259_0005__LUHK_r02555_c04517__cover_4,DJI_20260107143259_0005__LUHK_r02555_c04517__cover_4,all_finite,DJI_20260107143259_0005,DJI_202601071424_001,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,2026-01-07 14:32:59,LUHK_r02555_c04517,2555,4517,845175.0,822445.0,71,71,Woodland / shrubland / grassland / wetland,4,vegetation_tree,250,250,1.0,250,250,1.0,10.825836,10.632044,1.092233,9.386286,13.788782,0,0.0,0,0.0,0,0.0,0,0.0,11.0,user_provided_chat_message,codex_user_message_2026-07-15,2026-01-07 14:32:59,0,user_provided_exact_image_match,user_provided_provisional,-0.174164,-0.367956,pass,warn,1,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.,1,,1
DJI_20260107143259_0005__LUHK_r02555_c04518__cover_4,DJI_20260107143259_0005__LUHK_r02555_c04518__cover_4,all_finite,DJI_20260107143259_0005,DJI_202601071424_001,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,2026-01-07 14:32:59,LUHK_r02555_c04518,2555,4518,845185.0,822445.0,71,71,Woodland / shrubland / grassland / wetland,4,vegetation_tree,240,240,1.0,240,240,1.0,12.024314,12.063364,1.098655,9.752619,14.596949,0,0.0,0,0.0,0,0.0,0,0.0,11.0,user_provided_chat_message,codex_user_message_2026-07-15,2026-01-07 14:32:59,0,user_provided_exact_image_match,user_provided_provisional,1.024314,1.063364,pass,warn,1,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.,1,,1
DJI_20260107143259_0005__LUHK_r02555_c04519__cover_4,DJI_20260107143259_0005__LUHK_r02555_c04519__cover_4,all_finite,DJI_20260107143259_0005,DJI_202601071424_001,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,2026-01-07 14:32:59,LUHK_r02555_c04519,2555,4519,845195.0,822445.0,71,71,Woodland / shrubland / grassland / wetland,4,vegetation_tree,250,250,1.0,250,250,1.0,10.82039,10.558741,0.816507,9.53161,12.981653,0,0.0,0,0.0,0,0.0,0,0.0,11.0,user_provided_chat_message,codex_user_message_2026-07-15,2026-01-07 14:32:59,0,user_provided_exact_image_match,user_provided_provisional,-0.17961,-0.441259,pass,warn,1,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.,1,,1
DJI_20260107143259_0005__LUHK_r02555_c04520__cover_4,DJI_20260107143259_0005__LUHK_r02555_c04520__cover_4,all_finite,DJI_20260107143259_0005,DJI_202601071424_001,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,2026-01-07 14:32:59,LUHK_r02555_c04520,2555,4520,845205.0,822445.0,71,71,Woodland / shrubland / grassland / wetland,4,vegetation_tree,250,250,1.0,250,250,1.0,10.388038,10.265558,0.504003,9.458338,12.393885,0,0.0,0,0.0,0,0.0,0,0.0,11.0,user_provided_chat_message,codex_user_message_2026-07-15,2026-01-07 14:32:59,0,user_provided_exact_image_match,user_provided_provisional,-0.611962,-0.734442,pass,warn,1,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.,1,,1
DJI_20260107143259_0005__LUHK_r02555_c04521__cover_4,DJI_20260107143259_0005__LUHK_r02555_c04521__cover_4,all_finite,DJI_20260107143259_0005,DJI_202601071424_001,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,2026-01-07 14:32:59,LUHK_r02555_c04521,2555,4521,845215.0,822445.0,71,71,Woodland / shrubland / grassland / wetland,4,vegetation_tree,240,240,1.0,240,240,1.0,10.730584,10.669245,0.52974,9.899164,12.099543,0,0.0,0,0.0,0,0.0,0,0.0,11.0,user_provided_chat_message,codex_user_message_2026-07-15,2026-01-07 14:32:59,0,user_provided_exact_image_match,user_provided_provisional,-0.269416,-0.330755,pass,warn,1,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.,1,,1
DJI_20260107143259_0005__LUHK_r02555_c04522__cover_4,DJI_20260107143259_0005__LUHK_r02555_c04522__cover_4,all_finite,DJI_20260107143259_0005,DJI_202601071424_001,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,2026-01-07 14:32:59,LUHK_r02555_c04522,2555,4522,845225.0,822445.0,71,71,Woodland / shrubland / grassland / wetland,4,vegetation_tree,250,250,1.0,250,250,1.0,11.084532,11.072962,0.741541,9.752619,13.054132,0,0.0,0,0.0,0,0.0,0,0.0,11.0,user_provided_chat_message,codex_user_message_2026-07-15,2026-01-07 14:32:59,0,user_provided_exact_image_match,user_provided_provisional,0.084532,0.072962,pass,warn,1,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.,1,,1
DJI_20260107143259_0005__LUHK_r02555_c04523__cover_4,DJI_20260107143259_0005__LUHK_r02555_c04523__cover_4,all_finite,DJI_20260107143259_0005,DJI_202601071424_001,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,2026-01-07 14:32:59,LUHK_r02555_c04523,2555,4523,845235.0,822445.0,72,72,Woodland / shrubland / grassland / wetland,4,vegetation_tree,250,250,1.0,250,250,1.0,10.277875,10.04571,0.533956,9.678156,12.834955,0,0.0,0,0.0,0,0.0,0,0.0,11.0,user_provided_chat_message,codex_user_message_2026-07-15,2026-01-07 14:32:59,0,user_provided_exact_image_match,user_provided_provisional,-0.722125,-0.95429,pass,warn,1,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.,1,,1
DJI_20260107143259_0005__LUHK_r02555_c04524__cover_4,DJI_20260107143259_0005__LUHK_r02555_c04524__cover_4,all_finite,DJI_20260107143259_0005,DJI_202601071424_001,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,2026-01-07 14:32:59,LUHK_r02555_c04524,2555,4524,845245.0,822445.0,72,72,Woodland / shrubland / grassland / wetland,4,vegetation_tree,240,240,1.0,240,240,1.0,11.176461,11.32905,0.802395,9.678156,12.834955,0,0.0,0,0.0,0,0.0,0,0.0,11.0,user_provided_chat_message,codex_user_message_2026-07-15,2026-01-07 14:32:59,0,user_provided_exact_image_match,user_provided_provisional,0.176461,0.32905,pass,warn,1,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.,1,,1
DJI_20260107143259_0005__LUHK_r02555_c04525__cover_4,DJI_20260107143259_0005__LUHK_r02555_c04525__cover_4,all_finite,DJI_20260107143259_0005,DJI_202601071424_001,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,2026-01-07 14:32:59,LUHK_r02555_c04525,2555,4525,845255.0,822445.0,72,72,Woodland / shrubland / grassland / wetland,4,vegetation_tree,250,250,1.0,250,250,1.0,11.400976,11.291864,0.813602,10.191156,13.788782,0,0.0,0,0.0,0,0.0,0,0.0,11.0,user_provided_chat_message,codex_user_message_2026-07-15,2026-01-07 14:32:59,0,user_provided_exact_image_match,user_provided_provisional,0.400976,0.291864,pass,warn,1,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.,1,,1
DJI_20260107143259_0005__LUHK_r02555_c04526__cover_4,DJI_20260107143259_0005__LUHK_r02555_c04526__cover_4,all_finite,DJI_20260107143259_0005,DJI_202601071424_001,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,2026-01-07 14:32:59,LUHK_r02555_c04526,2555,4526,845265.0,822445.0,72,72,Woodland / shrubland / grassland / wetland,4,vegetation_tree,250,250,1.0,250,250,1.0,10.618783,10.338861,0.822089,9.678156,14.376734,0,0.0,0,0.0,0,0.0,0,0.0,11.0,user_provided_chat_message,codex_user_message_2026-07-15,2026-01-07 14:32:59,0,user_provided_exact_image_match,user_provided_provisional,-0.381217,-0.661139,pass,warn,1,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.,1,,1
DJI_20260107143259_0005__LUHK_r02555_c04527__cover_4,DJI_20260107143259_0005__LUHK_r02555_c04527__cover_4,all_finite,DJI_20260107143259_0005,DJI_202601071424_001,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,2026-01-07 14:32:59,LUHK_r02555_c04527,2555,4527,845275.0,822445.0,71,71,Woodland / shrubland / grassland / wetland,4,vegetation_tree,240,240,1.0,240,240,1.0,12.122667,12.466303,1.384876,9.824701,15.038172,0,0.0,0,0.0,0,0.0,0,0.0,11.0,user_provided_chat_message,codex_user_message_2026-07-15,2026-01-07 14:32:59,0,user_provided_exact_image_match,user_provided_provisional,1.122667,1.466303,pass,warn,1,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.,1,,1
DJI_20260107143259_0005__LUHK_r02555_c04528__cover_4,DJI_20260107143259_0005__LUHK_r02555_c04528__cover_4,all_finite,DJI_20260107143259_0005,DJI_202601071424_001,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,2026-01-07 14:32:59,LUHK_r02555_c04528,2555,4528,845285.0,822445.0,71,71,Woodland / shrubland / grassland / wetland,4,vegetation_tree,250,250,1.0,250,250,1.0,10.311268,10.04571,0.6668,9.53161,12.907373,0,0.0,0,0.0,0,0.0,0,0.0,11.0,user_provided_chat_message,codex_user_message_2026-07-15,2026-01-07 14:32:59,0,user_provided_exact_image_match,user_provided_provisional,-0.688732,-0.95429,pass,warn,1,This is a provisional pilot delta-T analysis using temperature matrices that have completed structural extraction QA but have not yet completed full radiometric parameter validation.,1,,1
