analysis_family,group_a,group_b,n_full_a,n_full_b,n_sampled_a,n_sampled_b,n_images_a,n_images_b,effect_size_name,effect_size,mean_difference_a_minus_b,median_difference_a_minus_b,interpretation_status,skipped_reason
luhk_surface_cover,31 | GIC / open space | concrete_pavement,31 | GIC / open space | grass_low_vegetation,322791,39392,6673,770,5,5,rank_biserial_correlation,-0.41111437640734805,-3.6977435781140446,-6.389684677124023,exploratory_effect_size,
luhk_surface_cover,31 | GIC / open space | concrete_pavement,31 | GIC / open space | roof,322791,569132,6673,9398,5,5,rank_biserial_correlation,0.011997285277432823,-0.054499769332545966,-0.8567562103271484,exploratory_effect_size,
luhk_surface_cover,31 | GIC / open space | concrete_pavement,31 | GIC / open space | vegetation_tree,322791,581928,6673,10000,5,5,rank_biserial_correlation,0.4579237824067137,3.653829079684128,2.8325443267822266,exploratory_effect_size,
luhk_surface_cover,31 | GIC / open space | concrete_pavement,51 | Other urban / built-up land | vegetation_tree,322791,200,6673,4,5,1,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,31 | GIC / open space | concrete_pavement,71 | Woodland / shrubland / grassland / wetland | concrete_pavement,322791,5,6673,2,5,1,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,31 | GIC / open space | concrete_pavement,71 | Woodland / shrubland / grassland / wetland | roof,322791,365,6673,15,5,2,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,31 | GIC / open space | concrete_pavement,71 | Woodland / shrubland / grassland / wetland | vegetation_tree,322791,75704,6673,1338,5,4,rank_biserial_correlation,0.6094791786367972,4.581182841258171,3.467041015625,exploratory_effect_size,
luhk_surface_cover,31 | GIC / open space | concrete_pavement,72 | Woodland / shrubland / grassland / wetland | concrete_pavement,322791,60,6673,6,5,1,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,31 | GIC / open space | concrete_pavement,72 | Woodland / shrubland / grassland / wetland | roof,322791,104,6673,7,5,1,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,31 | GIC / open space | concrete_pavement,72 | Woodland / shrubland / grassland / wetland | vegetation_tree,322791,31244,6673,609,5,1,rank_biserial_correlation,,,,skipped,At least one group occurs in fewer than 2 images.
luhk_surface_cover,31 | GIC / open space | concrete_pavement,73 | Woodland / shrubland / grassland / wetland | vegetation_tree,322791,7253,6673,150,5,2,rank_biserial_correlation,0.7326439882111995,5.3419332311555845,4.4883270263671875,exploratory_effect_size,
luhk_surface_cover,31 | GIC / open space | grass_low_vegetation,31 | GIC / open space | roof,39392,569132,770,9398,5,5,rank_biserial_correlation,0.3636259994527711,3.6432438087814987,5.532928466796875,exploratory_effect_size,
luhk_surface_cover,31 | GIC / open space | grass_low_vegetation,31 | GIC / open space | vegetation_tree,39392,581928,770,10000,5,5,rank_biserial_correlation,0.7909614285714286,7.351572657798172,9.22222900390625,exploratory_effect_size,
luhk_surface_cover,31 | GIC / open space | grass_low_vegetation,51 | Other urban / built-up land | vegetation_tree,39392,200,770,4,5,1,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,31 | GIC / open space | grass_low_vegetation,71 | Woodland / shrubland / grassland / wetland | concrete_pavement,39392,5,770,2,5,1,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,31 | GIC / open space | grass_low_vegetation,71 | Woodland / shrubland / grassland / wetland | roof,39392,365,770,15,5,2,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,31 | GIC / open space | grass_low_vegetation,71 | Woodland / shrubland / grassland / wetland | vegetation_tree,39392,75704,770,1338,5,4,rank_biserial_correlation,0.8657833944829461,8.278926419372215,9.856725692749023,exploratory_effect_size,
luhk_surface_cover,31 | GIC / open space | grass_low_vegetation,72 | Woodland / shrubland / grassland / wetland | concrete_pavement,39392,60,770,6,5,1,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,31 | GIC / open space | grass_low_vegetation,72 | Woodland / shrubland / grassland / wetland | roof,39392,104,770,7,5,1,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,31 | GIC / open space | grass_low_vegetation,72 | Woodland / shrubland / grassland / wetland | vegetation_tree,39392,31244,770,609,5,1,rank_biserial_correlation,,,,skipped,At least one group occurs in fewer than 2 images.
luhk_surface_cover,31 | GIC / open space | grass_low_vegetation,73 | Woodland / shrubland / grassland / wetland | vegetation_tree,39392,7253,770,150,5,2,rank_biserial_correlation,0.9181558441558442,9.03967680926963,10.878011703491211,exploratory_effect_size,
luhk_surface_cover,31 | GIC / open space | roof,31 | GIC / open space | vegetation_tree,569132,581928,9398,10000,5,5,rank_biserial_correlation,0.33212625026601406,3.708328849016674,3.689300537109375,exploratory_effect_size,
luhk_surface_cover,31 | GIC / open space | roof,51 | Other urban / built-up land | vegetation_tree,569132,200,9398,4,5,1,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,31 | GIC / open space | roof,71 | Woodland / shrubland / grassland / wetland | concrete_pavement,569132,5,9398,2,5,1,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,31 | GIC / open space | roof,71 | Woodland / shrubland / grassland / wetland | roof,569132,365,9398,15,5,2,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,31 | GIC / open space | roof,71 | Woodland / shrubland / grassland / wetland | vegetation_tree,569132,75704,9398,1338,5,4,rank_biserial_correlation,0.428467272399337,4.635682610590717,4.323797225952148,exploratory_effect_size,
luhk_surface_cover,31 | GIC / open space | roof,72 | Woodland / shrubland / grassland / wetland | concrete_pavement,569132,60,9398,6,5,1,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,31 | GIC / open space | roof,72 | Woodland / shrubland / grassland / wetland | roof,569132,104,9398,7,5,1,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,31 | GIC / open space | roof,72 | Woodland / shrubland / grassland / wetland | vegetation_tree,569132,31244,9398,609,5,1,rank_biserial_correlation,,,,skipped,At least one group occurs in fewer than 2 images.
luhk_surface_cover,31 | GIC / open space | roof,73 | Woodland / shrubland / grassland / wetland | vegetation_tree,569132,7253,9398,150,5,2,rank_biserial_correlation,0.5187891040646946,5.3964330004881305,5.345083236694336,exploratory_effect_size,
luhk_surface_cover,31 | GIC / open space | vegetation_tree,51 | Other urban / built-up land | vegetation_tree,581928,200,10000,4,5,1,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,31 | GIC / open space | vegetation_tree,71 | Woodland / shrubland / grassland / wetland | concrete_pavement,581928,5,10000,2,5,1,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,31 | GIC / open space | vegetation_tree,71 | Woodland / shrubland / grassland / wetland | roof,581928,365,10000,15,5,2,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,31 | GIC / open space | vegetation_tree,71 | Woodland / shrubland / grassland / wetland | vegetation_tree,581928,75704,10000,1338,5,4,rank_biserial_correlation,0.23065381165919274,0.9273537615740426,0.6344966888427734,exploratory_effect_size,
luhk_surface_cover,31 | GIC / open space | vegetation_tree,72 | Woodland / shrubland / grassland / wetland | concrete_pavement,581928,60,10000,6,5,1,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,31 | GIC / open space | vegetation_tree,72 | Woodland / shrubland / grassland / wetland | roof,581928,104,10000,7,5,1,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,31 | GIC / open space | vegetation_tree,72 | Woodland / shrubland / grassland / wetland | vegetation_tree,581928,31244,10000,609,5,1,rank_biserial_correlation,,,,skipped,At least one group occurs in fewer than 2 images.
luhk_surface_cover,31 | GIC / open space | vegetation_tree,73 | Woodland / shrubland / grassland / wetland | vegetation_tree,581928,7253,10000,150,5,2,rank_biserial_correlation,0.48336066666666677,1.6881041514714559,1.655782699584961,exploratory_effect_size,
luhk_surface_cover,51 | Other urban / built-up land | vegetation_tree,71 | Woodland / shrubland / grassland / wetland | concrete_pavement,200,5,4,2,1,1,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,51 | Other urban / built-up land | vegetation_tree,71 | Woodland / shrubland / grassland / wetland | roof,200,365,4,15,1,2,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,51 | Other urban / built-up land | vegetation_tree,71 | Woodland / shrubland / grassland / wetland | vegetation_tree,200,75704,4,1338,1,4,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,51 | Other urban / built-up land | vegetation_tree,72 | Woodland / shrubland / grassland / wetland | concrete_pavement,200,60,4,6,1,1,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,51 | Other urban / built-up land | vegetation_tree,72 | Woodland / shrubland / grassland / wetland | roof,200,104,4,7,1,1,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,51 | Other urban / built-up land | vegetation_tree,72 | Woodland / shrubland / grassland / wetland | vegetation_tree,200,31244,4,609,1,1,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,51 | Other urban / built-up land | vegetation_tree,73 | Woodland / shrubland / grassland / wetland | vegetation_tree,200,7253,4,150,1,2,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,71 | Woodland / shrubland / grassland / wetland | concrete_pavement,71 | Woodland / shrubland / grassland / wetland | roof,5,365,2,15,1,2,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,71 | Woodland / shrubland / grassland / wetland | concrete_pavement,71 | Woodland / shrubland / grassland / wetland | vegetation_tree,5,75704,2,1338,1,4,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,71 | Woodland / shrubland / grassland / wetland | concrete_pavement,72 | Woodland / shrubland / grassland / wetland | concrete_pavement,5,60,2,6,1,1,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,71 | Woodland / shrubland / grassland / wetland | concrete_pavement,72 | Woodland / shrubland / grassland / wetland | roof,5,104,2,7,1,1,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
