image_id,image_height,image_width,total_pixel_count,finite_pixel_count,accepted_pixel_count,luhk_labelled_pixel_count,cover_labelled_pixel_count,shadow_known_pixel_count,shadow_present_pixel_count,ambient_temperature_c,temperature_mean_c,temperature_median_c,temperature_min_c,temperature_max_c,delta_t_mean_c,delta_t_median_c,delta_t_min_c,delta_t_max_c,generation_timestamp_utc,git_commit_at_generation
DJI_20260107143259_0005,512,640,327680,327680,327680,327680,327680,327680,0,11.0,14.280268694061226,13.014337539672852,-17.569128036499023,45.51720428466797,3.2802686942042785,2.0143375396728516,-28.569128036499023,34.51720428466797,2026-07-15T18:20:31.917082+00:00,3a426e01a3593606962e38edfd28e7c2ebd08462
DJI_20260107143320_0007,512,640,327680,327680,327680,327680,327680,327680,0,10.6,16.311845001062558,14.606592178344727,-22.298025131225586,47.67620086669922,5.711844619949988,4.006591796875,-32.89802551269531,37.076202392578125,2026-07-15T18:20:31.917082+00:00,3a426e01a3593606962e38edfd28e7c2ebd08462
DJI_20260107143328_0008,512,640,327680,327680,327680,327680,327680,327680,0,10.5,16.05284508425752,14.325769424438477,-24.25702476501465,47.77214813232422,5.5528450844140025,3.8257694244384766,-34.75702667236328,37.27214813232422,2026-07-15T18:20:31.917082+00:00,3a426e01a3593606962e38edfd28e7c2ebd08462
DJI_20260107143344_0009,512,640,327680,327680,327680,327680,327680,327680,0,9.9,16.105942960004153,14.298120498657227,-23.78517723083496,48.88964080810547,6.205943341540115,4.398120880126953,-33.685176849365234,38.98963928222656,2026-07-15T18:20:31.917082+00:00,3a426e01a3593606962e38edfd28e7c2ebd08462
DJI_20260107143401_0011,512,640,327680,327680,327680,327680,327680,327680,0,9.9,16.03909814682381,14.599115371704102,-29.15314292907715,40.56920623779297,6.139098531256605,4.699115753173828,-39.05314254760742,30.669206619262695,2026-07-15T18:20:31.917082+00:00,3a426e01a3593606962e38edfd28e7c2ebd08462
