luhk_class_code,luhk_class_name,surface_cover_class,n_pixels_full,n_images,mean_full,median_full,std_full,min_full,q05_full,q25_full,q75_full,q95_full,max_full,n_pixels_sampled,mean_sampled,median_sampled
31,GIC / open space,vegetation_tree,581928,5,2.9635048188951605,2.5432071685791016,2.2417370771085965,-18.76581382751465,0.19719886779785156,1.6059150695800781,3.870685577392578,6.86376953125,35.454864501953125,10000,3.216425252342224,2.72442626953125
31,GIC / open space,roof,569132,5,6.999426540164815,6.652790069580078,6.8985561153537045,-39.05314254760742,-1.8846244812011719,1.5605106353759766,11.886737823486328,18.485279083251953,37.27214813232422,9398,6.924754101358898,6.413726806640625
31,GIC / open space,concrete_pavement,322791,5,7.096965698543354,5.707269668579102,5.911599434582222,-37.18662643432617,0.3943061828613281,3.02630615234375,10.799066543579102,17.729736328125,38.98963928222656,6673,6.870254332026352,5.556970596313477
31,GIC / open space,grass_low_vegetation,39392,5,11.207520475191957,12.364801406860352,4.319907964124851,-1.1999015808105469,1.8327827453613281,9.2601318359375,13.883056640625,16.9515323638916,24.01360321044922,770,10.567997910140397,11.9466552734375
31,GIC / open space,bare_soil,10222,2,12.462929919469943,14.150110244750977,5.552104852668175,-2.661530017852783,1.136749267578125,11.022607803344727,16.065338134765625,18.940948486328125,20.836639404296875,221,11.842671571274149,13.331781387329102
51,Other urban / built-up land,vegetation_tree,200,1,4.4834928131103515,4.353296279907227,1.4830748774994438,2.0899295806884766,2.5432071685791016,3.4301395416259766,5.030817031860352,7.737720108032225,9.455682754516602,4,3.6366519927978516,3.335916519165039
71,Woodland / shrubland / grassland / wetland,vegetation_tree,75704,4,2.252516306140742,2.0899295806884766,1.5869730756522642,-0.8654842376708984,0.27300453186035156,1.1065311431884766,3.1472415924072266,4.729944229125977,17.78386878967285,1338,2.2890714907681815,2.0899295806884766
71,Woodland / shrubland / grassland / wetland,roof,365,2,4.340386644128251,2.361927032470703,3.681423028649935,1.0761909484863281,1.3426078796386718,1.7875308990478516,6.458795547485352,12.127081680297852,15.060876846313477,15,4.122382100423177,1.9839668273925781
71,Woodland / shrubland / grassland / wetland,concrete_pavement,5,1,14.009393692016602,14.004877090454102,1.0588995249539463,12.514703750610352,12.737964248657226,13.631006240844727,14.532800674438477,15.197424697875977,15.363580703735352,2,13.072854995727539,13.072854995727539
72,Woodland / shrubland / grassland / wetland,vegetation_tree,31244,1,1.8720528479651688,1.4848880767822266,1.4292522334716853,-0.7894954681396484,0.19719886779785156,0.8035526275634766,2.6944217681884766,4.729944229125977,7.808343887329102,609,1.9061293735096998,1.5606327056884766
72,Woodland / shrubland / grassland / wetland,roof,104,1,9.333451637854942,8.632455825805664,4.358855149482539,2.5432071685791016,3.5055088043212894,5.669702529907227,13.296144485473633,16.622534561157224,19.907312393188477,7,10.798212051391602,12.067560195922852
72,Woodland / shrubland / grassland / wetland,concrete_pavement,60,1,15.328134028116862,14.722131729125977,2.608999206266926,10.575616836547852,11.724332046508788,13.668107986450195,17.633325576782227,19.466635513305665,20.362085342407227,6,14.448795954386393,13.445199966430664
73,Woodland / shrubland / grassland / wetland,vegetation_tree,7253,2,1.3781321838643983,0.9550418853759766,1.051304441051379,-1.3976192474365234,0.19719886779785156,0.6520328521728516,2.2410526275634766,3.328033447265625,5.857873916625977,150,1.5283211008707682,1.068643569946289
