rank,stage,method,score,score_delta,dx_px,dy_px,scale,rotation_deg,match_count,inlier_count,bbox
1,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.495413,0.088789,0.4169631268416829,14.42551262650066,0.99,0.0,,,"1117,808,2915,2246"
2,fine_grid,skimage_edge_grid_search,0.486314,0.07969,0.0,20.0,0.99,0.0,,,"1117,813,2915,2252"
3,fine_grid,skimage_edge_grid_search,0.485147,0.078524,0.0,20.0,1.0,0.0,,,"1108,806,2924,2259"
4,opencv,opencv_phase_correlation,0.483865,0.077241,0.4169631268416829,14.42551262650066,1.0,0.0,,,"1108,800,2924,2253"
5,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.483865,0.077241,0.4169631268416829,14.42551262650066,1.0,0.0,,,"1108,800,2924,2253"
6,opencv,opencv_ecc_translation,0.480116,0.073492,3.710646890103817,15.007213841192424,1.0,0.0,,,"1112,801,2928,2254"
7,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.475245,0.068621,10.416963126841683,14.42551262650066,0.99,0.0,,,"1127,808,2925,2246"
8,fine_grid,skimage_edge_grid_search,0.470659,0.064035,0.0,10.0,0.99,0.0,,,"1117,803,2915,2242"
9,fine_grid,skimage_edge_grid_search,0.469267,0.062644,10.0,20.0,0.99,0.0,,,"1127,813,2925,2252"
10,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.466111,0.059488,0.4169631268416829,24.425512626500662,1.0,0.0,,,"1108,810,2924,2263"
11,fine_grid,skimage_edge_grid_search,0.464616,0.057992,0.0,10.0,1.0,0.0,,,"1108,796,2924,2249"
12,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.461515,0.054891,0.4169631268416829,24.425512626500662,0.99,0.0,,,"1117,818,2915,2256"
13,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.460629,0.054005,0.4169631268416829,14.42551262650066,0.99,1.0,,,"1117,808,2915,2246"
14,fine_grid,skimage_edge_grid_search,0.457397,0.050773,10.0,10.0,0.99,0.0,,,"1127,803,2925,2242"
15,fine_grid,skimage_edge_grid_search,0.452709,0.046085,0.0,20.0,0.99,1.0,,,"1117,813,2915,2252"
16,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.452524,0.0459,10.416963126841683,14.42551262650066,1.0,0.0,,,"1118,800,2934,2253"
17,fine_grid,skimage_edge_grid_search,0.452085,0.045461,10.0,20.0,1.0,0.0,,,"1118,806,2934,2259"
18,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.451812,0.045188,0.4169631268416829,14.42551262650066,1.0,1.0,,,"1108,800,2924,2253"
19,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.451166,0.044543,10.416963126841683,14.42551262650066,0.99,1.0,,,"1127,808,2925,2246"
20,fine_grid,skimage_edge_grid_search,0.450474,0.04385,0.0,10.0,0.99,1.0,,,"1117,803,2915,2242"
21,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.450059,0.043435,-9.583036873158317,14.42551262650066,1.0,0.0,,,"1098,800,2914,2253"
22,fine_grid,skimage_edge_grid_search,0.449918,0.043294,0.0,20.0,1.01,0.0,,,"1099,799,2933,2266"
23,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.449488,0.042864,10.416963126841683,24.425512626500662,0.99,0.0,,,"1127,818,2925,2256"
24,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.44878,0.042156,0.4169631268416829,14.42551262650066,1.01,0.0,,,"1099,793,2933,2261"
25,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.44841,0.041786,0.4169631268416829,14.42551262650066,0.99,-1.0,,,"1117,808,2915,2246"
