pair_id,image_id,class_id,class_name,pixel_count,valid_temperature_pixel_count,mean_temperature_c,median_temperature_c,std_temperature_c,qa_label
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,DJI_20260107143344_0009,1,roof,163090,163090,16.83104133605957,16.4782657623291,6.4593353271484375,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,DJI_20260107143344_0009,2,concrete_pavement,75342,75342,18.074628829956055,16.327783584594727,6.04102897644043,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,DJI_20260107143344_0009,3,asphalt_road,0,0,,,,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,DJI_20260107143344_0009,4,vegetation_tree,86417,86417,13.172104835510254,12.639490127563477,1.9838835000991821,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,DJI_20260107143344_0009,5,grass_low_vegetation,2831,2831,11.497224807739258,11.354608535766602,1.0597636699676514,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,DJI_20260107143344_0009,6,bare_soil,0,0,,,,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,DJI_20260107143344_0009,7,water,0,0,,,,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,DJI_20260107143344_0009,8,vehicle_temporary_object,0,0,,,,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,DJI_20260107143344_0009,9,unclear_ignore,0,0,,,,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143401_0011,DJI_20260107143401_0011,0,no_data_unreviewed,0,0,,,,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143401_0011,DJI_20260107143401_0011,1,roof,161158,161158,17.725393295288086,18.4263858795166,7.370278835296631,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143401_0011,DJI_20260107143401_0011,2,concrete_pavement,94360,94360,15.61856460571289,14.900323867797852,5.987529277801514,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143401_0011,DJI_20260107143401_0011,3,asphalt_road,0,0,,,,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143401_0011,DJI_20260107143401_0011,4,vegetation_tree,71131,71131,12.75973892211914,12.488489151000977,1.6949716806411743,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143401_0011,DJI_20260107143401_0011,5,grass_low_vegetation,1031,1031,17.18918800354004,16.853174209594727,3.153970956802368,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143401_0011,DJI_20260107143401_0011,6,bare_soil,0,0,,,,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143401_0011,DJI_20260107143401_0011,7,water,0,0,,,,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143401_0011,DJI_20260107143401_0011,8,vehicle_temporary_object,0,0,,,,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143401_0011,DJI_20260107143401_0011,9,unclear_ignore,0,0,,,,"QA statistics only, not final delta T analysis"
