pair_id,image_id,class_id,class_name,pixel_count,valid_temperature_pixel_count,mean_temperature_c,median_temperature_c,std_temperature_c,qa_label
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,DJI_20260107143344_0009,1,roof,163090,163090,14.013280868530273,13.641992568969727,6.320103645324707,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,DJI_20260107143344_0009,2,concrete_pavement,75342,75342,15.224454879760742,13.495233535766602,5.922506809234619,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,DJI_20260107143344_0009,3,asphalt_road,0,0,,,,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,DJI_20260107143344_0009,4,vegetation_tree,86417,86417,10.420074462890625,9.899164199829102,1.9358078241348267,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,DJI_20260107143344_0009,5,grass_low_vegetation,2831,2831,8.791529655456543,8.652521133422852,1.0284451246261597,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,DJI_20260107143344_0009,6,bare_soil,0,0,,,,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,DJI_20260107143344_0009,7,water,0,0,,,,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,DJI_20260107143344_0009,8,vehicle_temporary_object,0,0,,,,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,DJI_20260107143344_0009,9,unclear_ignore,0,0,,,,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143401_0011,DJI_20260107143401_0011,0,no_data_unreviewed,0,0,,,,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143401_0011,DJI_20260107143401_0011,1,roof,161158,161158,14.888727188110352,15.552148818969727,7.216569900512695,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143401_0011,DJI_20260107143401_0011,2,concrete_pavement,94360,94360,12.817509651184082,12.099542617797852,5.8633809089660645,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143401_0011,DJI_20260107143401_0011,3,asphalt_road,0,0,,,,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143401_0011,DJI_20260107143401_0011,4,vegetation_tree,71131,71131,10.018159866333008,9.752618789672852,1.6540703773498535,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143401_0011,DJI_20260107143401_0011,5,grass_low_vegetation,1031,1031,14.347118377685547,14.009759902954102,3.0928125381469727,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143401_0011,DJI_20260107143401_0011,6,bare_soil,0,0,,,,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143401_0011,DJI_20260107143401_0011,7,water,0,0,,,,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143401_0011,DJI_20260107143401_0011,8,vehicle_temporary_object,0,0,,,,"QA statistics only, not final delta T analysis"
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143401_0011,DJI_20260107143401_0011,9,unclear_ignore,0,0,,,,"QA statistics only, not final delta T analysis"
