grid_id,image_id,pair_id,visible_image_name,thermal_image_name,visible_image_path,thermal_image_path,grid_row,grid_col,cell_min_x_2326,cell_max_x_2326,cell_min_y_2326,cell_max_y_2326,cell_width_m,cell_height_m,cell_area_m2,cell_center_x_2326,cell_center_y_2326,cell_center_lat,cell_center_lon,is_partial_edge_cell,footprint_min_x_2326,footprint_max_x_2326,footprint_min_y_2326,footprint_max_y_2326,footprint_ground_width_m,footprint_ground_height_m,footprint_gsd_x_m_per_px,footprint_gsd_y_m_per_px,quality_flag,notes
DJI_20260107143259_0005_T__r000_c010,DJI_20260107143259_0005_T,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005_V.JPG,DJI_20260107143259_0005_T.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_V.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,0,10,845038.4492506629,845048.4492506629,822512.5233755695,822518.0651945096,10.0,5.541818940080702,55.41818940080702,845043.4492506629,822515.2942850395,22.341694905364157,114.2620621214409,True,844938.4492506629,845408.8370389757,822162.5233755695,822518.0651945096,470.3877883127951,355.54181893998464,0.7349809192387424,0.6944176151171575,ok;partial_edge_cell,"Pilot 10m x 10m grid cell created inside the paired thermal image footprint. LUHK land-use assignment, thermal matrix extraction, delta-T, and prediction are intentionally deferred to later workflow steps."
DJI_20260107143259_0005_T__r000_c011,DJI_20260107143259_0005_T,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005_V.JPG,DJI_20260107143259_0005_T.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_V.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,0,11,845048.4492506629,845058.4492506629,822512.5233755695,822518.0651945096,10.0,5.541818940080702,55.41818940080702,845053.4492506629,822515.2942850395,22.341694854267857,114.26215919645182,True,844938.4492506629,845408.8370389757,822162.5233755695,822518.0651945096,470.3877883127951,355.54181893998464,0.7349809192387424,0.6944176151171575,ok;partial_edge_cell,"Pilot 10m x 10m grid cell created inside the paired thermal image footprint. LUHK land-use assignment, thermal matrix extraction, delta-T, and prediction are intentionally deferred to later workflow steps."
DJI_20260107143259_0005_T__r000_c012,DJI_20260107143259_0005_T,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005_V.JPG,DJI_20260107143259_0005_T.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_V.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,0,12,845058.4492506629,845068.4492506629,822512.5233755695,822518.0651945096,10.0,5.541818940080702,55.41818940080702,845063.4492506629,822515.2942850395,22.34169480311339,114.26225627146248,True,844938.4492506629,845408.8370389757,822162.5233755695,822518.0651945096,470.3877883127951,355.54181893998464,0.7349809192387424,0.6944176151171575,ok;partial_edge_cell,"Pilot 10m x 10m grid cell created inside the paired thermal image footprint. LUHK land-use assignment, thermal matrix extraction, delta-T, and prediction are intentionally deferred to later workflow steps."
DJI_20260107143259_0005_T__r000_c013,DJI_20260107143259_0005_T,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005_V.JPG,DJI_20260107143259_0005_T.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_V.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,0,13,845068.4492506629,845078.4492506629,822512.5233755695,822518.0651945096,10.0,5.541818940080702,55.41818940080702,845073.4492506629,822515.2942850395,22.341694751900764,114.26235334647284,True,844938.4492506629,845408.8370389757,822162.5233755695,822518.0651945096,470.3877883127951,355.54181893998464,0.7349809192387424,0.6944176151171575,ok;partial_edge_cell,"Pilot 10m x 10m grid cell created inside the paired thermal image footprint. LUHK land-use assignment, thermal matrix extraction, delta-T, and prediction are intentionally deferred to later workflow steps."
DJI_20260107143259_0005_T__r000_c014,DJI_20260107143259_0005_T,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005_V.JPG,DJI_20260107143259_0005_T.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_V.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,0,14,845078.4492506629,845088.4492506629,822512.5233755695,822518.0651945096,10.0,5.541818940080702,55.41818940080702,845083.4492506629,822515.2942850395,22.34169470062997,114.26245042148291,True,844938.4492506629,845408.8370389757,822162.5233755695,822518.0651945096,470.3877883127951,355.54181893998464,0.7349809192387424,0.6944176151171575,ok;partial_edge_cell,"Pilot 10m x 10m grid cell created inside the paired thermal image footprint. LUHK land-use assignment, thermal matrix extraction, delta-T, and prediction are intentionally deferred to later workflow steps."
DJI_20260107143259_0005_T__r000_c015,DJI_20260107143259_0005_T,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005_V.JPG,DJI_20260107143259_0005_T.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_V.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,0,15,845088.4492506629,845098.4492506629,822512.5233755695,822518.0651945096,10.0,5.541818940080702,55.41818940080702,845093.4492506629,822515.2942850395,22.34169464930102,114.26254749649274,True,844938.4492506629,845408.8370389757,822162.5233755695,822518.0651945096,470.3877883127951,355.54181893998464,0.7349809192387424,0.6944176151171575,ok;partial_edge_cell,"Pilot 10m x 10m grid cell created inside the paired thermal image footprint. LUHK land-use assignment, thermal matrix extraction, delta-T, and prediction are intentionally deferred to later workflow steps."
DJI_20260107143259_0005_T__r000_c016,DJI_20260107143259_0005_T,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005_V.JPG,DJI_20260107143259_0005_T.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_V.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,0,16,845098.4492506629,845108.4492506629,822512.5233755695,822518.0651945096,10.0,5.541818940080702,55.41818940080702,845103.4492506629,822515.2942850395,22.34169459791389,114.26264457150225,True,844938.4492506629,845408.8370389757,822162.5233755695,822518.0651945096,470.3877883127951,355.54181893998464,0.7349809192387424,0.6944176151171575,ok;partial_edge_cell,"Pilot 10m x 10m grid cell created inside the paired thermal image footprint. LUHK land-use assignment, thermal matrix extraction, delta-T, and prediction are intentionally deferred to later workflow steps."
DJI_20260107143259_0005_T__r000_c017,DJI_20260107143259_0005_T,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005_V.JPG,DJI_20260107143259_0005_T.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_V.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,0,17,845108.4492506629,845118.4492506629,822512.5233755695,822518.0651945096,10.0,5.541818940080702,55.41818940080702,845113.4492506629,822515.2942850395,22.341694546468606,114.26274164651151,True,844938.4492506629,845408.8370389757,822162.5233755695,822518.0651945096,470.3877883127951,355.54181893998464,0.7349809192387424,0.6944176151171575,ok;partial_edge_cell,"Pilot 10m x 10m grid cell created inside the paired thermal image footprint. LUHK land-use assignment, thermal matrix extraction, delta-T, and prediction are intentionally deferred to later workflow steps."
DJI_20260107143259_0005_T__r000_c018,DJI_20260107143259_0005_T,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005_V.JPG,DJI_20260107143259_0005_T.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_V.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,0,18,845118.4492506629,845128.4492506629,822512.5233755695,822518.0651945096,10.0,5.541818940080702,55.41818940080702,845123.4492506629,822515.2942850395,22.341694494965154,114.26283872152048,True,844938.4492506629,845408.8370389757,822162.5233755695,822518.0651945096,470.3877883127951,355.54181893998464,0.7349809192387424,0.6944176151171575,ok;partial_edge_cell,"Pilot 10m x 10m grid cell created inside the paired thermal image footprint. LUHK land-use assignment, thermal matrix extraction, delta-T, and prediction are intentionally deferred to later workflow steps."
DJI_20260107143259_0005_T__r000_c019,DJI_20260107143259_0005_T,20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005_V.JPG,DJI_20260107143259_0005_T.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_V.JPG,data/raw/hkust/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,0,19,845128.4492506629,845138.4492506629,822512.5233755695,822518.0651945096,10.0,5.541818940080702,55.41818940080702,845133.4492506629,822515.2942850395,22.341694443403536,114.26293579652918,True,844938.4492506629,845408.8370389757,822162.5233755695,822518.0651945096,470.3877883127951,355.54181893998464,0.7349809192387424,0.6944176151171575,ok;partial_edge_cell,"Pilot 10m x 10m grid cell created inside the paired thermal image footprint. LUHK land-use assignment, thermal matrix extraction, delta-T, and prediction are intentionally deferred to later workflow steps."
