rank,stage,method,score,score_delta,dx_px,dy_px,scale,rotation_deg,match_count,inlier_count,bbox
1,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.548748,0.098559,2.2386855320318575,16.94046015719998,0.99,0.0,,,"1119,810,2917,2249"
2,fine_grid,skimage_edge_grid_search,0.540047,0.089858,0.0,20.0,0.99,0.0,,,"1117,813,2915,2252"
3,opencv,opencv_phase_correlation,0.538878,0.08869,2.2386855320318575,16.94046015719998,1.0,0.0,,,"1110,803,2926,2256"
4,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.538878,0.08869,2.2386855320318575,16.94046015719998,1.0,0.0,,,"1110,803,2926,2256"
5,fine_grid,skimage_edge_grid_search,0.53287,0.082681,0.0,10.0,0.99,0.0,,,"1117,803,2915,2242"
6,opencv,opencv_ecc_translation,0.53239,0.082202,3.9829540833830834,16.805676847696304,1.0,0.0,,,"1112,803,2928,2256"
7,fine_grid,skimage_edge_grid_search,0.527063,0.076874,0.0,20.0,0.98,0.0,,,"1126,821,2906,2244"
8,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.51835,0.068161,-7.761314467968143,16.94046015719998,0.99,0.0,,,"1109,810,2907,2249"
9,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.51293,0.062741,-7.761314467968143,16.94046015719998,1.0,0.0,,,"1100,803,2916,2256"
10,fine_grid,skimage_edge_grid_search,0.511005,0.060817,0.0,10.0,0.98,0.0,,,"1126,811,2906,2234"
11,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.506779,0.05659,2.2386855320318575,6.940460157199979,1.0,0.0,,,"1110,793,2926,2246"
12,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.504428,0.05424,2.2386855320318575,6.940460157199979,0.99,0.0,,,"1119,800,2917,2239"
13,fine_grid,skimage_edge_grid_search,0.502701,0.052513,0.0,20.0,0.97,0.0,,,"1135,828,2897,2237"
14,fine_grid,skimage_edge_grid_search,0.502319,0.052131,10.0,20.0,0.98,0.0,,,"1136,821,2916,2244"
15,fine_grid,skimage_edge_grid_search,0.501975,0.051787,10.0,20.0,0.99,0.0,,,"1127,813,2925,2252"
16,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.50092,0.050731,2.2386855320318575,16.94046015719998,0.99,1.0,,,"1119,810,2917,2249"
17,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.500557,0.050369,12.238685532031857,16.94046015719998,0.99,0.0,,,"1129,810,2927,2249"
18,fine_grid,skimage_edge_grid_search,0.500433,0.050244,0.0,10.0,0.99,1.0,,,"1117,803,2915,2242"
19,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.500392,0.050204,2.2386855320318575,16.94046015719998,0.99,-1.0,,,"1119,810,2917,2249"
20,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.498701,0.048512,2.2386855320318575,16.94046015719998,1.01,0.0,,,"1101,796,2935,2263"
21,fine_grid,skimage_edge_grid_search,0.496635,0.046447,10.0,10.0,0.99,0.0,,,"1127,803,2925,2242"
22,fine_grid,skimage_edge_grid_search,0.495664,0.045476,-10.0,10.0,0.99,0.0,,,"1107,803,2905,2242"
23,fine_grid,skimage_edge_grid_search,0.493232,0.043043,10.0,20.0,0.97,0.0,,,"1145,828,2907,2237"
24,fine_grid,skimage_edge_grid_search,0.492845,0.042656,0.0,20.0,0.99,1.0,,,"1117,813,2915,2252"
25,fine_grid,skimage_edge_grid_search,0.492496,0.042307,0.0,20.0,0.99,-1.0,,,"1117,813,2915,2252"
