pair_id,image_id,v_path,t_path,old_roi_x_min_px,old_roi_y_min_px,old_roi_x_max_px,old_roi_y_max_px,old_roi_width_px,old_roi_height_px,refined_roi_x_min_px,refined_roi_y_min_px,refined_roi_x_max_px,refined_roi_y_max_px,refined_roi_width_px,refined_roi_height_px,dx_px,dy_px,scale,rotation_deg,final_transform_type,final_transform_matrix_json,old_transform_matrix_json,method_used,opencv_available,match_count,inlier_count,original_alignment_score,refined_alignment_score,score_delta,auto_result_accepted,auto_rejection_reason,confidence,alignment_quality,needs_manual_gcp,manual_gcp_template_path,manual_gcp_point_count,manual_gcp_mean_residual_px,manual_gcp_max_residual_px,manual_gcp_rmse_px,alignment_review_dir,old_roi_box_path,refined_roi_box_path,old_blend_overlay_path,refined_blend_overlay_path,old_side_by_side_path,refined_side_by_side_path,old_edge_overlay_path,refined_edge_overlay_path,manual_gcp_side_by_side_path,contact_sheet_path,notes
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_V.JPG,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143259_0005_T.JPG,1108,786,2924,2239,1816,1453,1117,810,2914,2248,1797,1438,-0.4670204275428169,16.409970445062665,0.99,0.0,crop_shift_scale_rotate_candidate,"[[0.35614914, 0.0, -397.81858653], [0.0, 0.35605007, -288.40055633], [0.0, 0.0, 1.0]]","[[0.35242291, 0.0, -390.4845815], [0.0, 0.3523744, -276.96627667], [0.0, 0.0, 1.0]]",skimage_edge_grid_search_seeded_by_opencv_phase_correlation_from_metadata_fov_center_crop,yes,,,0.525566,0.648975,0.12341,yes,,medium,acceptable,no,outputs/part_b/alignment_refinement/DJI_20260107143259_0005/manual_gcp_template.csv,0,,,,outputs/part_b/alignment_refinement/DJI_20260107143259_0005,outputs/part_b/alignment_refinement/DJI_20260107143259_0005/01_old_roi_box_full_visible.png,outputs/part_b/alignment_refinement/DJI_20260107143259_0005/02_refined_roi_box_full_visible.png,outputs/part_b/alignment_refinement/DJI_20260107143259_0005/03_old_vt_alpha_blend_overlay.png,outputs/part_b/alignment_refinement/DJI_20260107143259_0005/04_refined_vt_alpha_blend_overlay.png,outputs/part_b/alignment_refinement/DJI_20260107143259_0005/05_old_side_by_side_v_roi_and_t.png,outputs/part_b/alignment_refinement/DJI_20260107143259_0005/06_refined_side_by_side_v_roi_and_t.png,outputs/part_b/alignment_refinement/DJI_20260107143259_0005/07_edge_overlay_before_refinement.png,outputs/part_b/alignment_refinement/DJI_20260107143259_0005/08_edge_overlay_after_refinement.png,outputs/part_b/alignment_refinement/DJI_20260107143259_0005/09_manual_gcp_side_by_side.png,outputs/part_b/alignment_refinement/DJI_20260107143259_0005/10_alignment_comparison_contact_sheet.png,Automatic result is a review candidate only; visually compare old and refined overlays. Manual visual acceptance is still required.
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143320_0007,DJI_20260107143320_0007,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143320_0007_V.JPG,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143320_0007_T.JPG,1108,786,2924,2239,1816,1453,1119,810,2917,2249,1798,1439,2.2386855320318575,16.94046015719998,0.99,0.0,crop_shift_scale_rotate_candidate,"[[0.35595106, 0.0, -398.30923248], [0.0, 0.35580264, -288.20013899], [0.0, 0.0, 1.0]]","[[0.35242291, 0.0, -390.4845815], [0.0, 0.3523744, -276.96627667], [0.0, 0.0, 1.0]]",skimage_edge_grid_search_seeded_by_opencv_phase_correlation_from_metadata_fov_center_crop,yes,,,0.450188,0.548748,0.098559,yes,,medium,acceptable,no,outputs/part_b/alignment_refinement/DJI_20260107143320_0007/manual_gcp_template.csv,0,,,,outputs/part_b/alignment_refinement/DJI_20260107143320_0007,outputs/part_b/alignment_refinement/DJI_20260107143320_0007/01_old_roi_box_full_visible.png,outputs/part_b/alignment_refinement/DJI_20260107143320_0007/02_refined_roi_box_full_visible.png,outputs/part_b/alignment_refinement/DJI_20260107143320_0007/03_old_vt_alpha_blend_overlay.png,outputs/part_b/alignment_refinement/DJI_20260107143320_0007/04_refined_vt_alpha_blend_overlay.png,outputs/part_b/alignment_refinement/DJI_20260107143320_0007/05_old_side_by_side_v_roi_and_t.png,outputs/part_b/alignment_refinement/DJI_20260107143320_0007/06_refined_side_by_side_v_roi_and_t.png,outputs/part_b/alignment_refinement/DJI_20260107143320_0007/07_edge_overlay_before_refinement.png,outputs/part_b/alignment_refinement/DJI_20260107143320_0007/08_edge_overlay_after_refinement.png,outputs/part_b/alignment_refinement/DJI_20260107143320_0007/09_manual_gcp_side_by_side.png,outputs/part_b/alignment_refinement/DJI_20260107143320_0007/10_alignment_comparison_contact_sheet.png,Automatic result is a review candidate only; visually compare old and refined overlays. Manual visual acceptance is still required.
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143328_0008,DJI_20260107143328_0008,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143328_0008_V.JPG,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143328_0008_T.JPG,1108,786,2924,2239,1816,1453,1117,813,2915,2252,1798,1439,0.0,20.0,0.99,0.0,crop_shift_scale_rotate_candidate,"[[0.35595106, 0.0, -397.59733037], [0.0, 0.35580264, -289.26754691], [0.0, 0.0, 1.0]]","[[0.35242291, 0.0, -390.4845815], [0.0, 0.3523744, -276.96627667], [0.0, 0.0, 1.0]]",skimage_edge_grid_search_from_metadata_fov_center_crop,yes,,,0.465589,0.563585,0.097996,yes,,medium,acceptable,no,outputs/part_b/alignment_refinement/DJI_20260107143328_0008/manual_gcp_template.csv,0,,,,outputs/part_b/alignment_refinement/DJI_20260107143328_0008,outputs/part_b/alignment_refinement/DJI_20260107143328_0008/01_old_roi_box_full_visible.png,outputs/part_b/alignment_refinement/DJI_20260107143328_0008/02_refined_roi_box_full_visible.png,outputs/part_b/alignment_refinement/DJI_20260107143328_0008/03_old_vt_alpha_blend_overlay.png,outputs/part_b/alignment_refinement/DJI_20260107143328_0008/04_refined_vt_alpha_blend_overlay.png,outputs/part_b/alignment_refinement/DJI_20260107143328_0008/05_old_side_by_side_v_roi_and_t.png,outputs/part_b/alignment_refinement/DJI_20260107143328_0008/06_refined_side_by_side_v_roi_and_t.png,outputs/part_b/alignment_refinement/DJI_20260107143328_0008/07_edge_overlay_before_refinement.png,outputs/part_b/alignment_refinement/DJI_20260107143328_0008/08_edge_overlay_after_refinement.png,outputs/part_b/alignment_refinement/DJI_20260107143328_0008/09_manual_gcp_side_by_side.png,outputs/part_b/alignment_refinement/DJI_20260107143328_0008/10_alignment_comparison_contact_sheet.png,Automatic result is a review candidate only; visually compare old and refined overlays. Manual visual acceptance is still required.
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,DJI_20260107143344_0009,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143344_0009_V.JPG,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143344_0009_T.JPG,1108,786,2924,2239,1816,1453,1118,811,2916,2250,1798,1439,1.2114594387424005,18.141872202534476,0.99,0.0,crop_shift_scale_rotate_candidate,"[[0.35595106, 0.0, -397.95328142], [0.0, 0.35580264, -288.55594163], [0.0, 0.0, 1.0]]","[[0.35242291, 0.0, -390.4845815], [0.0, 0.3523744, -276.96627667], [0.0, 0.0, 1.0]]",skimage_edge_grid_search_seeded_by_opencv_phase_correlation_from_metadata_fov_center_crop,yes,,,0.442869,0.541163,0.098294,yes,,medium,acceptable,no,outputs/part_b/alignment_refinement/DJI_20260107143344_0009/manual_gcp_template.csv,0,,,,outputs/part_b/alignment_refinement/DJI_20260107143344_0009,outputs/part_b/alignment_refinement/DJI_20260107143344_0009/01_old_roi_box_full_visible.png,outputs/part_b/alignment_refinement/DJI_20260107143344_0009/02_refined_roi_box_full_visible.png,outputs/part_b/alignment_refinement/DJI_20260107143344_0009/03_old_vt_alpha_blend_overlay.png,outputs/part_b/alignment_refinement/DJI_20260107143344_0009/04_refined_vt_alpha_blend_overlay.png,outputs/part_b/alignment_refinement/DJI_20260107143344_0009/05_old_side_by_side_v_roi_and_t.png,outputs/part_b/alignment_refinement/DJI_20260107143344_0009/06_refined_side_by_side_v_roi_and_t.png,outputs/part_b/alignment_refinement/DJI_20260107143344_0009/07_edge_overlay_before_refinement.png,outputs/part_b/alignment_refinement/DJI_20260107143344_0009/08_edge_overlay_after_refinement.png,outputs/part_b/alignment_refinement/DJI_20260107143344_0009/09_manual_gcp_side_by_side.png,outputs/part_b/alignment_refinement/DJI_20260107143344_0009/10_alignment_comparison_contact_sheet.png,Automatic result is a review candidate only; visually compare old and refined overlays. Manual visual acceptance is still required.
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143401_0011,DJI_20260107143401_0011,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143401_0011_V.JPG,data/raw/HKUST/20260107_Thermal_HKUST/DCIM/DJI_202601071424_001/DJI_20260107143401_0011_T.JPG,1108,786,2924,2239,1816,1453,1117,808,2915,2246,1798,1438,0.4169631268416829,14.42551262650066,0.99,0.0,crop_shift_scale_rotate_candidate,"[[0.35595106, 0.0, -397.59733037], [0.0, 0.35605007, -287.68845619], [0.0, 0.0, 1.0]]","[[0.35242291, 0.0, -390.4845815], [0.0, 0.3523744, -276.96627667], [0.0, 0.0, 1.0]]",skimage_edge_grid_search_seeded_by_opencv_phase_correlation_from_metadata_fov_center_crop,yes,,,0.406624,0.495413,0.088789,yes,,medium,acceptable,no,outputs/part_b/alignment_refinement/DJI_20260107143401_0011/manual_gcp_template.csv,0,,,,outputs/part_b/alignment_refinement/DJI_20260107143401_0011,outputs/part_b/alignment_refinement/DJI_20260107143401_0011/01_old_roi_box_full_visible.png,outputs/part_b/alignment_refinement/DJI_20260107143401_0011/02_refined_roi_box_full_visible.png,outputs/part_b/alignment_refinement/DJI_20260107143401_0011/03_old_vt_alpha_blend_overlay.png,outputs/part_b/alignment_refinement/DJI_20260107143401_0011/04_refined_vt_alpha_blend_overlay.png,outputs/part_b/alignment_refinement/DJI_20260107143401_0011/05_old_side_by_side_v_roi_and_t.png,outputs/part_b/alignment_refinement/DJI_20260107143401_0011/06_refined_side_by_side_v_roi_and_t.png,outputs/part_b/alignment_refinement/DJI_20260107143401_0011/07_edge_overlay_before_refinement.png,outputs/part_b/alignment_refinement/DJI_20260107143401_0011/08_edge_overlay_after_refinement.png,outputs/part_b/alignment_refinement/DJI_20260107143401_0011/09_manual_gcp_side_by_side.png,outputs/part_b/alignment_refinement/DJI_20260107143401_0011/10_alignment_comparison_contact_sheet.png,Automatic result is a review candidate only; visually compare old and refined overlays. Manual visual acceptance is still required.
