pair_id,V_x,V_y,T_x,T_y,point_description,include,notes
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143328_0008,,,,,building corner,,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143328_0008,,,,,roof edge,,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143328_0008,,,,,road or pavement intersection,,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143328_0008,,,,,sharp pavement boundary,,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143328_0008,,,,,stable large object,,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143328_0008,,,,,additional point,,
