rank,stage,method,score,score_delta,dx_px,dy_px,scale,rotation_deg,match_count,inlier_count,bbox
1,fine_grid,skimage_edge_grid_search,0.563585,0.097996,0.0,20.0,0.99,0.0,,,"1117,813,2915,2252"
2,fine_grid,skimage_edge_grid_search,0.563283,0.097694,0.0,20.0,1.0,0.0,,,"1108,806,2924,2259"
3,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.556006,0.090417,3.755085482935158,18.150532009403708,0.99,0.0,,,"1121,811,2919,2250"
4,opencv,opencv_phase_correlation,0.553924,0.088335,3.755085482935158,18.150532009403708,1.0,0.0,,,"1112,804,2928,2257"
5,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.553924,0.088335,3.755085482935158,18.150532009403708,1.0,0.0,,,"1112,804,2928,2257"
6,opencv,opencv_ecc_translation,0.550117,0.084528,5.571432329714298,20.773152820765972,1.0,0.0,,,"1114,807,2930,2260"
7,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.5418,0.076211,-6.244914517064842,18.150532009403708,1.0,0.0,,,"1102,804,2918,2257"
8,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.541629,0.07604,-6.244914517064842,18.150532009403708,0.99,0.0,,,"1111,811,2909,2250"
9,fine_grid,skimage_edge_grid_search,0.53028,0.064691,10.0,20.0,0.99,0.0,,,"1127,813,2925,2252"
10,fine_grid,skimage_edge_grid_search,0.529356,0.063767,10.0,20.0,1.0,0.0,,,"1118,806,2934,2259"
11,fine_grid,skimage_edge_grid_search,0.527503,0.061914,0.0,20.0,1.01,0.0,,,"1099,799,2933,2266"
12,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.52344,0.057851,3.755085482935158,28.150532009403708,1.0,0.0,,,"1112,814,2928,2267"
13,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.522073,0.056484,3.755085482935158,18.150532009403708,1.01,0.0,,,"1103,797,2937,2264"
14,fine_grid,skimage_edge_grid_search,0.520474,0.054885,0.0,10.0,0.99,0.0,,,"1117,803,2915,2242"
15,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.517407,0.051818,3.755085482935158,18.150532009403708,0.99,1.0,,,"1121,811,2919,2250"
16,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.516909,0.05132,3.755085482935158,18.150532009403708,1.0,1.0,,,"1112,804,2928,2257"
17,fine_grid,skimage_edge_grid_search,0.516708,0.051119,0.0,20.0,1.0,1.0,,,"1108,806,2924,2259"
18,fine_grid,skimage_edge_grid_search,0.515663,0.050074,0.0,10.0,1.0,0.0,,,"1108,796,2924,2249"
19,fine_grid,skimage_edge_grid_search,0.515081,0.049492,0.0,20.0,0.99,1.0,,,"1117,813,2915,2252"
20,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.514732,0.049143,-6.244914517064842,18.150532009403708,1.01,0.0,,,"1093,797,2927,2264"
21,fine_grid,skimage_edge_grid_search,0.513296,0.047707,-10.0,20.0,1.0,0.0,,,"1098,806,2914,2259"
22,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.511841,0.046252,3.755085482935158,28.150532009403708,0.99,0.0,,,"1121,821,2919,2260"
23,fine_grid,skimage_edge_grid_search,0.509662,0.044072,10.0,20.0,1.01,0.0,,,"1109,799,2943,2266"
24,fine_grid,skimage_edge_grid_search,0.509323,0.043734,-10.0,20.0,0.99,0.0,,,"1107,813,2905,2252"
25,fine_grid,skimage_edge_grid_search,0.506164,0.040575,10.0,20.0,1.0,1.0,,,"1118,806,2934,2259"
