rank,stage,method,score,score_delta,dx_px,dy_px,scale,rotation_deg,match_count,inlier_count,bbox
1,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.541163,0.098294,1.2114594387424005,18.141872202534476,0.99,0.0,,,"1118,811,2916,2250"
2,fine_grid,skimage_edge_grid_search,0.534397,0.091528,0.0,20.0,0.99,0.0,,,"1117,813,2915,2252"
3,opencv,opencv_phase_correlation,0.53179,0.088921,1.2114594387424005,18.141872202534476,1.0,0.0,,,"1109,804,2925,2257"
4,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.53179,0.088921,1.2114594387424005,18.141872202534476,1.0,0.0,,,"1109,804,2925,2257"
5,fine_grid,skimage_edge_grid_search,0.529805,0.086936,0.0,20.0,1.0,0.0,,,"1108,806,2924,2259"
6,fine_grid,skimage_edge_grid_search,0.511013,0.068144,10.0,20.0,0.99,0.0,,,"1127,813,2925,2252"
7,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.508796,0.065927,11.2114594387424,18.141872202534476,0.99,0.0,,,"1128,811,2926,2250"
8,fine_grid,skimage_edge_grid_search,0.504227,0.061358,0.0,10.0,0.99,0.0,,,"1117,803,2915,2242"
9,opencv,opencv_ecc_translation,0.502547,0.059678,6.604301843047142,22.183992395177484,1.0,0.0,,,"1115,808,2931,2261"
10,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.500761,0.057892,-8.7885405612576,18.141872202534476,1.0,0.0,,,"1099,804,2915,2257"
11,fine_grid,skimage_edge_grid_search,0.496375,0.053506,0.0,10.0,1.0,0.0,,,"1108,796,2924,2249"
12,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.493741,0.050872,1.2114594387424005,28.141872202534476,1.0,0.0,,,"1109,814,2925,2267"
13,fine_grid,skimage_edge_grid_search,0.491907,0.049037,10.0,20.0,1.0,0.0,,,"1118,806,2934,2259"
14,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.490129,0.04726,-8.7885405612576,18.141872202534476,0.99,0.0,,,"1108,811,2906,2250"
15,fine_grid,skimage_edge_grid_search,0.489567,0.046698,-10.0,20.0,1.0,0.0,,,"1098,806,2914,2259"
16,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.489253,0.046384,1.2114594387424005,8.141872202534476,0.99,0.0,,,"1118,801,2916,2240"
17,fine_grid,skimage_edge_grid_search,0.486141,0.043272,0.0,10.0,1.0,1.0,,,"1108,796,2924,2249"
18,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.485735,0.042866,1.2114594387424005,28.141872202534476,0.99,0.0,,,"1118,821,2916,2260"
19,fine_grid,skimage_edge_grid_search,0.485721,0.042852,0.0,20.0,0.99,-1.0,,,"1117,813,2915,2252"
20,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.48536,0.04249,-8.7885405612576,18.141872202534476,1.01,0.0,,,"1090,797,2924,2264"
21,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.484785,0.041916,11.2114594387424,18.141872202534476,1.0,0.0,,,"1119,804,2935,2257"
22,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.484318,0.041448,1.2114594387424005,18.141872202534476,0.99,-1.0,,,"1118,811,2916,2250"
23,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.483836,0.040966,1.2114594387424005,18.141872202534476,0.99,1.0,,,"1118,811,2916,2250"
24,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.482655,0.039785,1.2114594387424005,8.141872202534476,1.0,1.0,,,"1109,794,2925,2247"
25,fine_grid_opencv_seeded,skimage_edge_grid_search_seeded_by_opencv_phase_correlation,0.482275,0.039406,1.2114594387424005,8.141872202534476,1.0,0.0,,,"1109,794,2925,2247"
